t,x,y,v,a
0.000,5.068E-3,-5.006E-3,,
0.003,,,,
0.007,,,,
0.010,,,,
0.014,,,,
0.017,5.068E-3,-4.840E-3,8.191E-3,
0.021,,,,
0.024,,,,
0.028,,,,
0.031,,,,
0.035,5.068E-3,-4.758E-3,6.205E-3,0.117
0.038,,,,
0.042,,,,
0.045,,,,
0.049,,,,
0.052,5.068E-3,-4.633E-3,1.023E-2,0.806
0.056,,,,
0.059,,,,
0.063,,,,
0.066,,,,
0.070,5.151E-3,-4.427E-3,1.526E-2,0.446
0.073,,,,
0.076,,,,
0.080,,,,
0.083,,,,
0.087,4.985E-3,-5.089E-3,1.638E-2,0.626
0.090,,,,
0.094,,,,
0.097,,,,
0.101,,,,
0.104,5.151E-3,-4.923E-3,1.598E-2,1.237
0.108,,,,
0.111,,,,
0.115,,,,
0.118,,,,
0.122,5.151E-3,-4.633E-3,1.821E-2,8.141E-2
0.125,,,,
0.129,,,,
0.132,,,,
0.136,,,,
0.139,5.275E-3,-4.385E-3,1.406E-2,0.248
0.143,,,,
0.146,,,,
0.149,,,,
0.153,,,,
0.156,5.357E-3,-4.261E-3,4.551E-3,0.162
0.160,,,,
0.163,,,,
0.167,,,,
0.170,,,,
0.174,5.399E-3,-4.220E-3,5.461E-3,0.251
0.177,,,,
0.181,,,,
0.184,,,,
0.188,,,,
0.191,5.357E-3,-4.013E-3,1.780E-2,2.154E-2
0.195,,,,
0.198,,,,
0.202,,,,
0.205,,,,
0.209,5.357E-3,-3.682E-3,9.929E-3,0.420
0.212,,,,
0.216,,,,
0.219,,,,
0.223,,,,
0.226,5.357E-3,-3.682E-3,1.241E-3,0.163
0.229,,,,
0.233,,,,
0.236,,,,
0.240,,,,
0.243,5.316E-3,-3.682E-3,1.221E-2,0.377
0.247,,,,
0.250,,,,
0.254,,,,
0.257,,,,
0.261,5.192E-3,-3.351E-3,1.689E-2,0.165
0.264,,,,
0.268,,,,
0.271,,,,
0.275,,,,
0.278,5.192E-3,-3.185E-3,5.461E-3,0.669
0.282,,,,
0.285,,,,
0.289,,,,
0.292,,,,
0.296,5.192E-3,-3.185E-3,5.792E-3,0.284
0.299,,,,
0.302,,,,
0.306,,,,
0.309,,,,
0.313,5.068E-3,-3.310E-3,1.126E-2,0.375
0.316,,,,
0.320,,,,
0.323,,,,
0.327,,,,
0.330,5.109E-3,-2.855E-3,1.508E-2,0.150
0.334,,,,
0.337,,,,
0.341,,,,
0.344,,,,
0.348,5.109E-3,-2.855E-3,5.461E-3,0.233
0.351,,,,
0.355,,,,
0.358,,,,
0.362,,,,
0.365,5.109E-3,-2.689E-3,5.461E-3,3.295E-2
0.369,,,,
0.372,,,,
0.375,,,,
0.379,,,,
0.382,5.109E-3,-2.606E-3,1.820E-3,0.104
0.386,,,,
0.389,,,,
0.393,,,,
0.396,,,,
0.400,5.109E-3,-2.606E-3,9.158E-3,0.158
0.403,,,,
0.407,,,,
0.410,,,,
0.414,,,,
0.417,5.233E-3,-2.358E-3,1.225E-2,0.135
0.421,,,,
0.424,,,,
0.428,,,,
0.431,,,,
0.435,5.275E-3,-2.193E-3,9.172E-3,0.226
0.438,,,,
0.442,,,,
0.445,,,,
0.448,,,,
0.452,5.275E-3,-2.027E-3,8.191E-3,0.404
0.455,,,,
0.459,,,,
0.462,,,,
0.466,,,,
0.469,5.275E-3,-1.944E-3,2.201E-2,0.364
0.473,,,,
0.476,,,,
0.480,,,,
0.483,,,,
0.487,5.192E-3,-1.365E-3,2.608E-2,0.288
0.490,,,,
0.494,,,,
0.497,,,,
0.501,,,,
0.504,5.192E-3,-1.158E-3,8.191E-3,0.587
0.508,,,,
0.511,,,,
0.515,,,,
0.518,,,,
0.522,5.192E-3,-1.117E-3,8.304E-3,0.106
0.525,,,,
0.528,,,,
0.532,,,,
0.535,,,,
0.539,5.233E-3,-9.101E-4,1.372E-2,0.202
0.542,,,,
0.546,,,,
0.549,,,,
0.553,,,,
0.556,5.233E-3,-7.033E-4,1.047E-2,5.993E-2
0.560,,,,
0.563,,,,
0.567,,,,
0.570,,,,
0.574,5.192E-3,-3.723E-4,1.047E-2,1.998E-2
0.577,,,,
0.581,,,,
0.584,,,,
0.588,,,,
0.591,5.192E-3,-1.655E-4,1.502E-2,0.214
0.595,,,,
0.598,,,,
0.601,,,,
0.605,,,,
0.608,5.192E-3,8.274E-5,8.191E-3,0.257
0.612,,,,
0.615,,,,
0.619,,,,
0.622,,,,
0.626,5.192E-3,8.274E-5,4.096E-3,5.757E-2
0.629,,,,
0.633,,,,
0.636,,,,
0.640,,,,
0.643,5.192E-3,2.068E-4,9.653E-3,0.233
0.647,,,,
0.650,,,,
0.654,,,,
0.657,,,,
0.661,5.233E-3,3.723E-4,1.101E-2,0.157
0.664,,,,
0.668,,,,
0.671,,,,
0.674,,,,
0.678,5.233E-3,5.378E-4,5.461E-3,6.812E-2
0.681,,,,
0.685,,,,
0.688,,,,
0.692,,,,
0.695,5.233E-3,5.378E-4,6.826E-3,0.183
0.699,,,,
0.702,,,,
0.706,,,,
0.709,,,,
0.713,5.233E-3,8.688E-4,1.195E-2,9.634E-2
0.716,,,,
0.720,,,,
0.723,,,,
0.727,,,,
0.730,5.233E-3,1.117E-3,1.372E-2,9.266E-2
0.734,,,,
0.737,,,,
0.741,,,,
0.744,,,,
0.747,5.275E-3,1.282E-3,1.365E-2,1.494
0.751,,,,
0.754,,,,
0.758,,,,
0.761,,,,
0.765,5.233E-3,1.531E-3,2.461E-2,0.567
0.768,,,,
0.772,,,,
0.775,,,,
0.779,,,,
0.782,5.316E-3,5.378E-4,2.201E-2,0.889
0.786,,,,
0.789,,,,
0.793,,,,
0.796,,,,
0.800,5.316E-3,8.688E-4,2.088E-2,1.262
0.803,,,,
0.807,,,,
0.810,,,,
0.814,,,,
0.817,5.440E-3,1.158E-3,1.166E-2,0.369
0.821,,,,
0.824,,,,
0.827,,,,
0.831,,,,
0.834,5.440E-3,1.200E-3,6.826E-3,0.106
0.838,,,,
0.841,,,,
0.845,,,,
0.848,,,,
0.852,5.440E-3,1.365E-3,1.372E-2,0.383
0.855,,,,
0.859,,,,
0.862,,,,
0.866,,,,
0.869,5.482E-3,1.613E-3,1.821E-2,0.182
0.873,,,,
0.876,,,,
0.880,,,,
0.883,,,,
0.887,5.564E-3,1.903E-3,1.931E-2,0.103
0.890,,,,
0.894,,,,
0.897,,,,
0.900,,,,
0.904,5.564E-3,2.193E-3,1.775E-2,0.165
0.907,,,,
0.911,,,,
0.914,,,,
0.918,,,,
0.921,5.564E-3,2.441E-3,1.502E-2,7.723E-2
0.925,,,,
0.928,,,,
0.932,,,,
0.935,,,,
0.939,5.564E-3,2.648E-3,1.911E-2,0.154
0.942,,,,
0.946,,,,
0.949,,,,
0.953,,,,
0.956,5.564E-3,3.020E-3,2.184E-2,7.281E-2
0.960,,,,
0.963,,,,
0.967,,,,
0.970,,,,
0.973,5.564E-3,3.310E-3,1.644E-2,0.259
0.977,,,,
0.980,,,,
0.984,,,,
0.987,,,,
0.991,5.606E-3,3.516E-3,1.372E-2,0.129
0.994,,,,
0.998,,,,
1.001,,,,
1.005,,,,
1.008,5.606E-3,3.723E-3,1.372E-2,9.282E-2
1.012,,,,
1.015,,,,
1.019,,,,
1.022,,,,
1.026,5.564E-3,3.930E-3,1.236E-2,0.131
1.029,,,,
1.033,,,,
1.036,,,,
1.040,,,,
1.043,5.564E-3,4.096E-3,1.638E-2,2.288E-2
1.046,,,,
1.050,,,,
1.053,,,,
1.057,,,,
1.060,5.564E-3,4.427E-3,7.509E-3,2.940E-2
1.064,,,,
1.067,,,,
1.071,,,,
1.074,,,,
1.078,5.564E-3,4.551E-3,4.495E-3,8.935E-2
1.081,,,,
1.085,,,,
1.088,,,,
1.092,,,,
1.095,5.482E-3,4.799E-3,6.115E-3,2.139E-2
1.099,,,,
1.102,,,,
1.106,,,,
1.109,,,,
1.113,5.399E-3,4.840E-3,7.352E-3,0.167
1.116,,,,
1.120,,,,
1.123,,,,
1.126,,,,
1.130,5.399E-3,5.006E-3,4.133E-3,0.119
1.133,,,,
1.137,,,,
1.140,,,,
1.144,,,,
1.147,5.408E-3,4.965E-3,4.692E-3,0.214
1.151,,,,
1.154,,,,
1.158,,,,
1.161,,,,
1.165,5.408E-3,5.148E-3,1.221E-2,0.350
1.168,,,,
1.172,,,,
1.175,,,,
1.179,,,,
1.182,5.434E-3,5.408E-3,1.435E-2,1.340E-2
1.186,,,,
1.189,,,,
1.193,,,,
1.196,,,,
1.199,5.434E-3,5.669E-3,1.462E-2,9.758E-2
1.203,,,,
1.206,,,,
1.210,,,,
1.213,,,,
1.217,5.434E-3,5.851E-3,1.302E-2,8.110E-2
1.220,,,,
1.224,,,,
1.227,,,,
1.231,,,,
1.234,5.486E-3,6.060E-3,1.400E-2,3.627E-2
1.238,,,,
1.241,,,,
1.245,,,,
1.248,,,,
1.252,5.513E-3,6.268E-3,1.379E-2,0.175
1.255,,,,
1.259,,,,
1.262,,,,
1.266,,,,
1.269,5.513E-3,6.477E-3,1.643E-2,0.127
1.272,,,,
1.276,,,,
1.279,,,,
1.283,,,,
1.286,5.460E-3,6.764E-3,1.739E-2,0.163
1.290,,,,
1.293,,,,
1.297,,,,
1.300,,,,
1.304,5.434E-3,6.998E-3,1.131E-2,0.181
1.307,,,,
1.311,,,,
1.314,,,,
1.318,,,,
1.321,5.408E-3,7.102E-3,1.088E-2,0.130
1.325,,,,
1.328,,,,
1.332,,,,
1.335,,,,
1.339,5.330E-3,7.311E-3,9.807E-3,0.785
1.342,,,,
1.345,,,,
