t,x,y,v,a
6.923,4.034E-3,-1.189E-2,,
6.927,,,,
6.932,,,,
6.936,,,,
6.940,,,,
6.945,3.861E-3,-1.160E-2,1.107E-2,
6.949,,,,
6.953,,,,
6.957,,,,
6.962,,,,
6.966,3.938E-3,-1.157E-2,2.835E-3,7.185E-2
6.970,,,,
6.975,,,,
6.979,,,,
6.983,,,,
6.987,3.938E-3,-1.157E-2,1.046E-2,0.387
6.992,,,,
6.996,,,,
7.000,,,,
7.005,,,,
7.009,3.861E-3,-1.126E-2,1.432E-2,7.044E-2
7.013,,,,
7.017,,,,
7.022,,,,
7.026,,,,
7.030,3.746E-3,-1.099E-2,6.531E-3,0.365
7.035,,,,
7.039,,,,
7.043,,,,
7.047,,,,
7.052,3.708E-3,-1.103E-2,5.072E-3,6.085E-2
7.056,,,,
7.060,,,,
7.065,,,,
7.069,,,,
7.073,3.592E-3,-1.099E-2,7.221E-3,0.258
7.077,,,,
7.082,,,,
7.086,,,,
7.090,,,,
7.095,3.477E-3,-1.060E-2,1.039E-2,7.627E-2
7.099,,,,
7.103,,,,
7.108,,,,
7.112,,,,
7.116,3.554E-3,-1.030E-2,1.167E-2,0.243
7.120,,,,
7.125,,,,
7.129,,,,
7.133,,,,
7.138,3.516E-3,-1.018E-2,1.057E-3,0.338
7.142,,,,
7.146,,,,
7.150,,,,
7.155,,,,
7.159,3.554E-3,-1.026E-2,1.268E-3,0.194
7.163,,,,
7.168,,,,
7.172,,,,
7.176,,,,
7.180,3.554E-3,-1.018E-2,8.651E-3,0.339
7.185,,,,
7.189,,,,
7.193,,,,
7.198,,,,
7.202,3.631E-3,-9.529E-3,1.494E-2,7.752E-2
7.206,,,,
7.210,,,,
7.215,,,,
7.219,,,,
7.223,3.554E-3,-8.914E-3,1.668E-2,0.380
7.228,,,,
7.232,,,,
7.236,,,,
7.240,,,,
7.245,3.554E-3,-9.029E-3,8.119E-3,0.552
7.249,,,,
7.253,,,,
7.258,,,,
7.262,,,,
7.266,3.708E-3,-9.106E-3,2.835E-3,0.398
7.270,,,,
7.275,,,,
7.279,,,,
7.283,,,,
7.288,3.516E-3,-8.952E-3,8.966E-3,0.304
7.292,,,,
7.296,,,,
7.300,,,,
7.305,,,,
7.309,3.516E-3,-8.914E-3,7.393E-3,0.407
7.313,,,,
7.318,,,,
7.322,,,,
7.326,,,,
7.330,3.400E-3,-8.760E-3,1.522E-2,0.394
7.335,,,,
7.339,,,,
7.343,,,,
7.348,,,,
7.352,3.516E-3,-8.453E-3,1.919E-2,0.220
7.356,,,,
7.360,,,,
7.365,,,,
7.369,,,,
7.373,3.477E-3,-8.184E-3,8.966E-3,0.227
7.378,,,,
7.382,,,,
7.386,,,,
7.390,,,,
7.395,3.477E-3,-8.184E-3,8.966E-3,0.330
7.399,,,,
7.403,,,,
7.408,,,,
7.412,,,,
7.416,3.516E-3,-7.915E-3,1.717E-2,0.252
7.420,,,,
7.425,,,,
7.429,,,,
7.433,,,,
7.438,3.516E-3,-7.300E-3,1.334E-2,0.141
7.442,,,,
7.446,,,,
7.450,,,,
7.455,,,,
7.459,3.208E-3,-7.300E-3,1.418E-2,0.134
7.463,,,,
7.468,,,,
7.472,,,,
7.476,,,,
7.480,3.323E-3,-6.916E-3,1.538E-2,0.185
7.485,,,,
7.489,,,,
7.493,,,,
7.498,,,,
7.502,3.477E-3,-6.263E-3,8.397E-3,0.314
7.506,,,,
7.510,,,,
7.515,,,,
7.519,,,,
7.523,3.554E-3,-6.378E-3,2.835E-3,0.219
7.528,,,,
7.532,,,,
7.536,,,,
7.540,,,,
7.545,3.400E-3,-6.224E-3,8.252E-3,1.976E-2
7.549,,,,
7.553,,,,
7.558,,,,
7.562,,,,
7.566,3.362E-3,-6.148E-3,0.000,0.119
7.570,,,,
7.575,,,,
7.579,,,,
7.583,,,,
7.588,3.400E-3,-6.224E-3,5.228E-3,0.299
7.592,,,,
7.596,,,,
7.600,,,,
7.605,,,,
7.609,3.323E-3,-5.994E-3,1.314E-2,0.247
7.613,,,,
7.618,,,,
7.622,,,,
7.626,,,,
7.630,3.362E-3,-5.110E-3,1.385E-2,8.334E-2
7.635,,,,
7.639,,,,
7.643,,,,
7.648,,,,
7.652,3.093E-3,-4.841E-3,1.066E-2,0.167
7.656,,,,
7.660,,,,
7.665,,,,
7.669,,,,
7.673,3.439E-3,-4.534E-3,8.713E-3,0.429
7.678,,,,
7.682,,,,
7.686,,,,
7.691,,,,
7.695,3.208E-3,-4.380E-3,5.228E-3,0.160
7.699,,,,
7.703,,,,
7.708,,,,
7.712,,,,
7.716,3.400E-3,-4.687E-3,9.725E-3,0.379
7.721,,,,
7.725,,,,
7.729,,,,
7.733,,,,
7.738,3.247E-3,-3.881E-3,1.780E-2,0.183
7.742,,,,
7.746,,,,
7.751,,,,
7.755,,,,
7.759,3.323E-3,-3.612E-3,1.272E-2,0.190
7.763,,,,
7.768,,,,
7.772,,,,
7.776,,,,
7.781,3.208E-3,-3.381E-3,1.640E-2,8.797E-2
7.785,,,,
7.789,,,,
7.793,,,,
7.798,,,,
7.802,3.400E-3,-2.920E-3,1.102E-2,0.117
7.806,,,,
7.811,,,,
7.815,,,,
7.819,,,,
7.823,3.247E-3,-2.882E-3,1.044E-2,7.965E-2
7.828,,,,
7.832,,,,
7.836,,,,
7.841,,,,
7.845,3.362E-3,-2.574E-3,1.280E-2,0.215
7.849,,,,
7.853,,,,
7.858,,,,
7.862,,,,
7.866,3.362E-3,-2.036E-3,1.383E-2,4.600E-2
7.871,,,,
7.875,,,,
7.879,,,,
7.883,,,,
7.888,3.362E-3,-1.652E-3,1.458E-2,0.165
7.892,,,,
7.896,,,,
7.901,,,,
7.905,,,,
