t,x,y
6.509,7.746E-3,-1.254E-2
6.513,,
6.517,,
6.520,,
6.524,,
6.528,7.755E-3,-1.234E-2
6.532,,
6.535,,
6.539,,
6.543,,
6.546,7.727E-3,-1.220E-2
6.550,,
6.554,,
6.558,,
6.561,,
6.565,7.718E-3,-1.201E-2
6.569,,
6.572,,
6.576,,
6.580,,
6.584,7.709E-3,-1.192E-2
6.587,,
6.591,,
6.595,,
6.598,,
6.602,7.718E-3,-1.183E-2
6.606,,
6.609,,
6.613,,
6.617,,
6.621,7.746E-3,-1.169E-2
6.624,,
6.628,,
6.632,,
6.635,,
6.639,7.746E-3,-1.162E-2
6.643,,
6.647,,
6.650,,
6.654,,
6.658,7.746E-3,-1.150E-2
6.661,,
6.665,,
6.669,,
6.673,,
6.676,7.765E-3,-1.138E-2
6.680,,
6.684,,
6.687,,
6.691,,
6.695,7.755E-3,-1.126E-2
6.698,,
6.702,,
6.706,,
6.710,,
6.713,7.765E-3,-1.101E-2
6.717,,
6.721,,
6.724,,
6.728,,
6.732,7.774E-3,-1.078E-2
6.736,,
6.739,,
6.743,,
6.747,,
6.750,7.774E-3,-1.053E-2
6.754,,
6.758,,
6.762,,
6.765,,
6.769,7.718E-3,-1.034E-2
6.773,,
6.776,,
6.780,,
6.784,,
6.788,7.774E-3,-9.865E-3
6.791,,
6.795,,
6.799,,
6.802,,
6.806,7.830E-3,-9.734E-3
6.810,,
6.813,,
6.817,,
6.821,,
6.825,7.830E-3,-9.584E-3
6.828,,
6.832,,
6.836,,
6.839,,
6.843,7.793E-3,-9.359E-3
6.847,,
6.851,,
6.854,,
6.858,,
6.862,7.765E-3,-9.115E-3
6.865,,
6.869,,
6.873,,
6.877,,
6.880,7.793E-3,-8.965E-3
6.884,,
6.888,,
6.891,,
6.895,,
6.899,7.830E-3,-8.815E-3
6.902,,
6.906,,
6.910,,
6.914,,
6.917,7.830E-3,-8.712E-3
6.921,,
6.925,,
6.928,,
6.932,,
6.936,7.830E-3,-8.524E-3
6.940,,
6.943,,
6.947,,
6.951,,
6.954,7.830E-3,-8.403E-3
6.958,,
6.962,,
6.966,,
6.969,,
6.973,7.840E-3,-8.252E-3
6.977,,
6.980,,
6.984,,
6.988,,
6.992,7.868E-3,-8.102E-3
6.995,,
6.999,,
7.003,,
7.006,,
7.010,7.906E-3,-7.812E-3
7.014,,
7.017,,
7.021,,
7.025,,
7.029,7.868E-3,-7.549E-3
7.032,,
7.036,,
7.040,,
7.043,,
7.047,7.868E-3,-7.362E-3
7.051,,
7.055,,
7.058,,
7.062,,
7.066,7.812E-3,-7.193E-3
7.069,,
7.073,,
7.077,,
7.081,,
7.084,7.859E-3,-7.099E-3
7.088,,
7.092,,
7.095,,
7.099,,
7.103,7.859E-3,-7.071E-3
7.106,,
7.110,,
7.114,,
7.118,,
7.121,7.830E-3,-7.005E-3
7.125,,
7.129,,
7.132,,
7.136,,
7.140,7.812E-3,-6.921E-3
7.144,,
7.147,,
7.151,,
7.155,,
7.158,7.915E-3,-6.152E-3
7.162,,
7.166,,
7.170,,
7.173,,
7.177,7.943E-3,-5.833E-3
7.181,,
7.184,,
7.188,,
7.192,,
7.196,7.877E-3,-5.692E-3
7.199,,
7.203,,
7.207,,
7.210,,
7.214,7.877E-3,-5.580E-3
7.218,,
7.221,,
7.225,,
7.229,,
7.233,7.962E-3,-5.317E-3
7.236,,
7.240,,
7.244,,
7.247,,
7.251,8.093E-3,-5.036E-3
7.255,,
7.259,,
7.262,,
7.266,,
7.270,8.121E-3,-4.858E-3
7.273,,
7.277,,
7.281,,
7.285,,
7.288,8.093E-3,-4.689E-3
7.292,,
7.296,,
7.299,,
7.303,,
7.307,8.131E-3,-4.454E-3
7.310,,
7.314,,
7.318,,
7.322,,
7.325,8.102E-3,-4.239E-3
7.329,,
7.333,,
7.336,,
7.340,,
7.344,8.093E-3,-4.079E-3
7.348,,
7.351,,
7.355,,
7.359,,
7.362,8.112E-3,-3.864E-3
7.366,,
7.370,,
7.374,,
7.377,,
7.381,8.065E-3,-3.657E-3
7.385,,
7.388,,
7.392,,
7.396,,
7.400,8.056E-3,-3.479E-3
7.403,,
7.407,,
7.411,,
7.414,,
7.418,8.056E-3,-3.376E-3
7.422,,
7.425,,
7.429,,
7.433,,
7.437,8.093E-3,-3.254E-3
7.440,,
7.444,,
7.448,,
7.451,,
7.455,8.093E-3,-3.104E-3
7.459,,
7.463,,
7.466,,
7.470,,
7.474,8.056E-3,-2.898E-3
7.477,,
7.481,,
7.485,,
7.489,,
7.492,8.018E-3,-2.560E-3
7.496,,
7.500,,
7.503,,
7.507,,
7.511,8.056E-3,-2.288E-3
7.514,,
7.518,,
7.522,,
7.526,,
7.529,8.084E-3,-2.138E-3
7.533,,
7.537,,
7.540,,
7.544,,
7.548,8.140E-3,-1.932E-3
7.552,,
7.555,,
7.559,,
7.563,,
7.566,8.140E-3,-1.726E-3
7.570,,
7.574,,
7.578,,
7.581,,
