t,x,y,a,p
10.283,,,,
10.287,,,,
10.290,,,,
10.294,0.232,-0.207,1.705,5.485E-2
10.298,,,,
10.302,,,,
10.305,,,,
10.309,,,,
10.313,0.232,-0.207,1.668,5.485E-2
10.317,,,,
10.320,,,,
10.324,,,,
10.328,,,,
10.331,0.230,-0.207,1.034,0.101
10.335,,,,
10.339,,,,
10.343,,,,
10.346,,,,
10.350,0.231,-0.204,6.830,3.469E-2
10.354,,,,
10.357,,,,
10.361,,,,
10.365,,,,
10.369,0.229,-0.206,3.729,0.226
10.372,,,,
10.376,,,,
10.380,,,,
10.384,,,,
10.387,0.224,-0.206,6.292,0.172
10.391,,,,
10.395,,,,
10.398,,,,
10.402,,,,
10.406,0.224,-0.206,3.815,4.906E-2
10.410,,,,
10.413,,,,
10.417,,,,
10.421,,,,
10.424,0.224,-0.204,2.962,8.845E-2
10.428,,,,
10.432,,,,
10.436,,,,
10.439,,,,
10.443,0.222,-0.204,3.368,0.123
10.447,,,,
10.451,,,,
10.454,,,,
10.458,,,,
10.462,0.221,-0.202,3.271,0.187
10.465,,,,
10.469,,,,
10.473,,,,
10.477,,,,
10.480,0.220,-0.199,2.697,0.211
10.484,,,,
10.488,,,,
10.491,,,,
10.495,,,,
10.499,0.217,-0.197,6.292,0.192
10.503,,,,
10.506,,,,
10.510,,,,
10.514,,,,
10.518,0.215,-0.196,5.172,7.359E-2
10.521,,,,
10.525,,,,
10.529,,,,
10.532,,,,
10.536,0.215,-0.197,1.308,6.938E-2
10.540,,,,
10.544,,,,
10.547,,,,
10.551,,,,
10.555,0.214,-0.197,2.814,8.845E-2
10.558,,,,
10.562,,,,
10.566,,,,
10.570,,,,
10.573,0.213,-0.196,3.368,5.485E-2
10.577,,,,
10.581,,,,
10.585,,,,
10.588,,,,
10.592,0.213,-0.196,2.313,2.453E-2
10.596,,,,
10.599,,,,
10.603,,,,
10.607,,,,
10.611,0.214,-0.196,0.463,2.453E-2
10.614,,,,
10.618,,,,
10.622,,,,
10.626,,,,
10.629,0.214,-0.196,1.308,0.000
10.633,,,,
10.637,,,,
10.640,,,,
10.644,,,,
10.648,0.214,-0.196,3.238,2.453E-2
10.652,,,,
10.655,,,,
10.659,,,,
10.663,,,,
10.666,0.214,-0.195,4.626,9.812E-2
10.670,,,,
10.674,,,,
10.678,,,,
10.681,,,,
10.685,0.214,-0.193,1.668,0.172
10.689,,,,
10.693,,,,
10.696,,,,
10.700,,,,
10.704,0.214,-0.190,6.426,0.149
10.707,,,,
10.711,,,,
10.715,,,,
10.719,,,,
10.722,0.214,-0.188,6.426,7.359E-2
10.726,,,,
10.730,,,,
10.733,,,,
10.737,,,,
10.741,0.211,-0.190,1.034,0.132
10.745,,,,
10.748,,,,
10.752,,,,
10.756,,,,
10.760,0.211,-0.190,3.103,5.485E-2
10.763,,,,
10.767,,,,
10.771,,,,
10.774,,,,
10.778,0.211,-0.188,6.084,8.845E-2
10.782,,,,
10.786,,,,
10.789,,,,
10.793,,,,
10.797,0.209,-0.188,3.600,0.221
10.800,,,,
10.804,,,,
10.808,,,,
10.812,,,,
10.815,0.204,-0.188,4.661,0.169
10.819,,,,
10.823,,,,
10.827,,,,
10.830,,,,
10.834,0.200,-0.187,6.384,9.697E-2
10.838,,,,
10.841,,,,
10.845,,,,
10.849,,,,
10.853,0.203,-0.184,1.935,0.233
10.856,,,,
10.860,,,,
10.864,,,,
10.868,,,,
10.871,0.203,-0.181,4.626,0.147
10.875,,,,
10.879,,,,
10.882,,,,
10.886,,,,
10.890,0.203,-0.179,2.926,9.812E-2
10.894,,,,
10.897,,,,
10.901,,,,
10.905,,,,
10.908,0.203,-0.178,1.963,0.143
10.912,,,,
10.916,,,,
10.920,,,,
10.923,,,,
10.927,0.200,-0.175,1.463,0.104
10.931,,,,
10.935,,,,
10.938,,,,
10.942,,,,
10.946,0.200,-0.175,3.729,7.359E-2
10.949,,,,
10.953,,,,
10.957,,,,
10.961,,,,
10.964,0.200,-0.173,3.523,0.125
10.968,,,,
10.972,,,,
10.975,,,,
10.979,,,,
10.983,0.201,-0.172,1.907,0.149
10.987,,,,
10.990,,,,
10.994,,,,
10.998,,,,
11.002,0.200,-0.169,1.034,0.198
11.005,,,,
11.009,,,,
11.013,,,,
11.016,,,,
11.020,0.200,-0.166,4.265,0.172
11.024,,,,
11.028,,,,
11.031,,,,
11.035,,,,
11.039,0.200,-0.164,0.818,7.757E-2
11.042,,,,
11.046,,,,
11.050,,,,
11.054,,,,
11.057,0.200,-0.164,0.968,1.635E-2
11.061,,,,
11.065,,,,
11.069,,,,
11.072,,,,
11.076,0.200,-0.162,1.026,6.425E-2
11.080,,,,
11.083,,,,
11.087,,,,
11.091,,,,
11.095,0.200,-0.155,0.678,0.145
11.098,,,,
11.102,,,,
11.106,,,,
11.110,,,,
11.113,0.200,-0.152,0.542,0.147
11.117,,,,
11.121,,,,
11.124,,,,
11.128,,,,
11.132,0.200,-0.142,0.000,0.140
11.136,,,,
11.139,,,,
11.143,,,,
11.147,,,,
11.150,0.200,-0.135,1.255,0.178
11.154,,,,
11.158,,,,
11.162,,,,
11.165,,,,
11.169,0.200,-0.130,0.510,0.111
11.173,,,,
11.177,,,,
11.180,,,,
11.184,,,,
11.188,0.200,-0.128,1.320,0.124
11.191,,,,
11.195,,,,
11.199,,,,
11.203,,,,
11.206,0.201,-0.121,0.716,0.283
11.210,,,,
11.214,,,,
11.217,,,,
11.221,,,,
11.225,0.202,-0.116,3.881,0.327
11.229,,,,
11.232,,,,
11.236,,,,
11.240,,,,
11.244,0.203,-0.112,1.668,0.274
11.247,,,,
11.251,,,,
11.255,,,,
11.258,,,,
11.262,0.206,-0.109,2.697,0.342
11.266,,,,
11.270,,,,
11.273,,,,
11.277,,,,
11.281,0.207,-0.102,3.729,0.274
11.284,,,,
11.288,,,,
11.292,,,,
11.296,,,,
11.299,0.207,-0.100,1.034,0.323
11.303,,,,
11.307,,,,
11.311,,,,
11.314,,,,
11.318,0.209,-9.218E-2,1.308,0.396
11.322,,,,
11.325,,,,
11.329,,,,
11.333,,,,
11.337,0.209,-8.846E-2,1.034,0.221
11.340,,,,
11.344,,,,
11.348,,,,
11.352,,,,
11.355,0.209,-8.549E-2,7.759,0.369
11.359,,,,
11.363,,,,
11.366,,,,
11.370,,,,
11.374,0.209,-7.731E-2,4.972,0.434
11.378,,,,
11.381,,,,
11.385,,,,
11.389,,,,
11.392,0.215,-7.385E-2,9.240,0.256
11.396,,,,
11.400,,,,
11.404,,,,
11.407,,,,
11.411,0.215,-7.176E-2,6.468,0.138
11.415,,,,
11.419,,,,
11.422,,,,
11.426,,,,
11.430,0.215,-6.967E-2,2.868,0.180
11.433,,,,
11.437,,,,
11.441,,,,
11.445,,,,
11.448,0.215,-6.634E-2,4.534,0.234
11.452,,,,
11.456,,,,
11.459,,,,
11.463,,,,
11.467,0.215,-6.258E-2,5.994,0.306
11.471,,,,
11.474,,,,
11.478,,,,
11.482,,,,
11.486,0.216,-5.716E-2,2.218,0.419
11.489,,,,
11.493,,,,
11.497,,,,
11.500,,,,
11.504,0.217,-5.007E-2,3.894,0.386
11.508,,,,
11.512,,,,
11.515,,,,
11.519,,,,
11.523,0.217,-4.548E-2,6.537,0.289
11.526,,,,
11.530,,,,
11.534,,,,
11.538,,,,
11.541,0.217,-4.130E-2,2.808,0.207
11.545,,,,
11.549,,,,
11.553,,,,
11.556,,,,
11.560,0.217,-3.922E-2,0.734,0.195
11.564,,,,
11.567,,,,
11.571,,,,
11.575,,,,
11.579,0.218,-3.546E-2,2.648,0.222
11.582,,,,
11.586,,,,
11.590,,,,
11.593,,,,
11.597,0.218,-3.254E-2,5.735,0.248
11.601,,,,
11.605,,,,
11.608,,,,
11.612,,,,
11.616,0.218,-2.795E-2,1.835,0.400
11.620,,,,
11.623,,,,
11.627,,,,
11.631,,,,
11.634,0.218,-2.044E-2,1.757,0.248
11.638,,,,
11.642,,,,
11.646,,,,
11.649,,,,
11.653,0.218,-1.669E-2,0.950,0.271
11.657,,,,
11.661,,,,
11.664,,,,
11.668,,,,
