t,x,y,v,a
7.109,0.166,-0.217,,
7.113,,,,
7.116,,,,
7.120,,,,
7.124,,,,
7.127,0.165,-0.213,0.146,
7.131,,,,
7.135,,,,
7.138,,,,
7.142,,,,
7.145,0.167,-0.210,0.211,3.767
7.149,,,,
7.153,,,,
7.156,,,,
7.160,,,,
7.164,0.169,-0.208,5.337E-2,3.129
7.167,,,,
7.171,,,,
7.175,,,,
7.178,,,,
7.182,0.165,-0.209,5.967E-2,2.393
7.185,,,,
7.189,,,,
7.193,,,,
7.196,,,,
7.200,0.167,-0.207,0.181,3.833
7.204,,,,
7.207,,,,
7.211,,,,
7.215,,,,
7.218,0.168,-0.205,0.116,2.252
7.222,,,,
7.225,,,,
7.229,,,,
7.233,,,,
7.236,0.168,-0.203,0.153,3.106
7.240,,,,
7.244,,,,
7.247,,,,
7.251,,,,
7.255,0.172,-0.202,0.194,0.359
7.258,,,,
7.262,,,,
7.265,,,,
7.269,,,,
7.273,0.173,-0.200,7.573E-2,2.775
7.276,,,,
7.280,,,,
7.284,,,,
7.287,,,,
7.291,0.175,-0.199,5.654E-2,2.453
7.295,,,,
7.298,,,,
7.302,,,,
7.305,,,,
7.309,0.175,-0.198,0.149,2.726
7.313,,,,
7.316,,,,
7.320,,,,
7.324,,,,
7.327,0.176,-0.190,0.191,0.668
7.331,,,,
7.335,,,,
7.338,,,,
7.342,,,,
7.345,0.178,-0.182,0.210,2.453
7.349,,,,
7.353,,,,
7.356,,,,
7.360,,,,
7.364,0.178,-0.179,0.207,2.542
7.367,,,,
7.371,,,,
7.375,,,,
7.378,,,,
7.382,0.179,-0.176,0.256,2.340
7.385,,,,
7.389,,,,
7.393,,,,
7.396,,,,
7.400,0.180,-0.172,0.243,3.523
7.404,,,,
7.407,,,,
7.411,,,,
7.415,,,,
7.418,0.182,-0.169,0.146,3.571
7.422,,,,
7.425,,,,
7.429,,,,
7.433,,,,
7.436,0.182,-0.168,0.125,2.697
7.440,,,,
7.444,,,,
7.447,,,,
7.451,,,,
