t,x,y,v,a
5.877,4.023E-3,-1.219E-2,,
5.881,,,,
5.884,,,,
5.888,,,,
5.892,,,,
5.896,4.298E-3,-1.192E-2,2.012E-2,
5.899,,,,
5.903,,,,
5.907,,,,
5.911,,,,
5.914,3.839E-3,-1.161E-2,6.754E-3,0.135
5.918,,,,
5.922,,,,
5.926,,,,
5.929,,,,
5.933,4.054E-3,-1.164E-2,5.637E-3,0.166
5.937,,,,
5.941,,,,
5.944,,,,
5.948,,,,
5.952,3.809E-3,-1.130E-2,1.580E-2,5.418E-2
5.956,,,,
5.959,,,,
5.963,,,,
5.967,,,,
5.971,3.839E-3,-1.121E-2,6.783E-3,0.214
5.974,,,,
5.978,,,,
5.982,,,,
5.986,,,,
5.989,3.839E-3,-1.106E-2,1.433E-2,0.225
5.993,,,,
5.997,,,,
6.001,,,,
6.004,,,,
6.008,3.809E-3,-1.069E-2,1.683E-2,0.000
6.012,,,,
6.016,,,,
6.019,,,,
6.023,,,,
6.027,3.839E-3,-1.045E-2,1.262E-2,0.402
6.030,,,,
6.034,,,,
6.038,,,,
6.042,,,,
6.045,3.809E-3,-1.023E-2,1.656E-2,0.173
6.049,,,,
6.053,,,,
6.057,,,,
6.060,,,,
6.064,4.145E-3,-1.005E-2,1.092E-2,0.433
6.068,,,,
6.072,,,,
6.075,,,,
6.079,,,,
6.083,3.992E-3,-9.958E-3,8.920E-3,0.212
6.087,,,,
6.090,,,,
6.094,,,,
6.098,,,,
6.102,3.778E-3,-9.958E-3,6.161E-3,0.426
6.105,,,,
6.109,,,,
6.113,,,,
6.117,,,,
6.120,3.901E-3,-9.713E-3,1.854E-2,0.252
6.124,,,,
6.128,,,,
6.132,,,,
6.135,,,,
6.139,3.962E-3,-9.193E-3,1.737E-2,0.142
6.143,,,,
6.147,,,,
6.150,,,,
6.154,,,,
6.158,3.962E-3,-8.979E-3,1.817E-2,0.203
6.161,,,,
6.165,,,,
6.169,,,,
6.173,,,,
6.176,3.962E-3,-8.643E-3,1.156E-2,0.280
6.180,,,,
6.184,,,,
6.188,,,,
6.191,,,,
6.195,3.931E-3,-8.490E-3,1.816E-2,0.146
6.199,,,,
6.203,,,,
6.206,,,,
6.210,,,,
6.214,4.054E-3,-7.878E-3,2.929E-2,0.184
6.218,,,,
6.221,,,,
6.225,,,,
6.229,,,,
6.233,3.962E-3,-7.602E-3,1.347E-2,0.786
6.236,,,,
6.240,,,,
6.244,,,,
6.248,,,,
6.251,3.962E-3,-7.480E-3,6.057E-3,0.137
6.255,,,,
6.259,,,,
6.263,,,,
6.266,,,,
6.270,3.962E-3,-7.419E-3,1.010E-2,0.221
6.274,,,,
6.278,,,,
6.281,,,,
6.285,,,,
6.289,3.962E-3,-7.174E-3,1.213E-2,0.120
6.293,,,,
6.296,,,,
6.300,,,,
6.304,,,,
6.307,3.992E-3,-6.868E-3,9.154E-3,0.132
6.311,,,,
6.315,,,,
6.319,,,,
6.322,,,,
6.326,3.839E-3,-6.776E-3,1.129E-2,8.299E-2
6.330,,,,
6.334,,,,
6.337,,,,
6.341,,,,
6.345,3.839E-3,-6.562E-3,1.476E-2,0.260
6.349,,,,
6.352,,,,
6.356,,,,
6.360,,,,
6.364,3.839E-3,-6.195E-3,1.638E-2,0.149
6.367,,,,
6.371,,,,
6.375,,,,
6.379,,,,
6.382,3.778E-3,-5.920E-3,1.799E-2,7.802E-2
6.386,,,,
6.390,,,,
6.394,,,,
6.397,,,,
6.401,3.962E-3,-5.553E-3,1.683E-2,0.201
6.405,,,,
6.409,,,,
6.412,,,,
6.416,,,,
