t,x,y,v,a
0.000,7.694E-3,-1.675E-2,,
0.003,,,,
0.007,,,,
0.010,,,,
0.014,,,,
0.017,7.694E-3,-1.675E-2,4.084E-3,
0.021,,,,
0.024,,,,
0.028,,,,
0.031,,,,
0.035,7.694E-3,-1.663E-2,4.909E-3,9.257E-2
0.038,,,,
0.042,,,,
0.045,,,,
0.049,,,,
0.052,7.777E-3,-1.663E-2,2.723E-3,0.162
0.056,,,,
0.059,,,,
0.063,,,,
0.066,,,,
0.070,7.777E-3,-1.663E-2,0.000,0.230
0.073,,,,
0.077,,,,
0.080,,,,
0.084,,,,
0.087,7.777E-3,-1.663E-2,3.851E-3,7.261E-2
0.091,,,,
0.094,,,,
0.098,,,,
0.101,,,,
0.105,7.694E-3,-1.654E-2,3.851E-3,7.261E-2
0.108,,,,
0.112,,,,
0.115,,,,
0.119,,,,
0.122,7.694E-3,-1.654E-2,0.000,0.145
0.126,,,,
0.129,,,,
0.133,,,,
0.136,,,,
0.140,7.694E-3,-1.654E-2,0.000,0.000
0.143,,,,
0.146,,,,
0.150,,,,
0.153,,,,
0.157,7.694E-3,-1.654E-2,0.000,5.135E-2
0.160,,,,
0.164,,,,
0.167,,,,
0.171,,,,
0.174,7.694E-3,-1.654E-2,1.361E-3,2.567E-2
0.178,,,,
0.181,,,,
0.185,,,,
0.188,,,,
0.192,7.694E-3,-1.650E-2,1.361E-3,2.567E-2
0.195,,,,
0.199,,,,
0.202,,,,
0.206,,,,
0.209,7.694E-3,-1.650E-2,0.000,5.135E-2
0.213,,,,
0.216,,,,
0.220,,,,
0.223,,,,
0.227,7.694E-3,-1.650E-2,0.000,5.135E-2
0.230,,,,
0.234,,,,
0.237,,,,
0.241,,,,
0.244,7.694E-3,-1.650E-2,1.361E-3,2.567E-2
0.248,,,,
0.251,,,,
0.255,,,,
0.258,,,,
0.262,7.653E-3,-1.650E-2,1.361E-3,2.567E-2
0.265,,,,
0.269,,,,
0.272,,,,
0.276,,,,
0.279,7.653E-3,-1.650E-2,0.000,0.165
0.282,,,,
0.286,,,,
0.289,,,,
0.293,,,,
0.296,7.653E-3,-1.650E-2,4.359E-3,5.705E-2
0.300,,,,
0.303,,,,
0.307,,,,
0.310,,,,
0.314,7.859E-3,-1.667E-2,3.666E-3,8.912E-2
0.317,,,,
0.321,,,,
0.324,,,,
0.328,,,,
0.331,7.859E-3,-1.658E-2,2.723E-3,0.133
0.335,,,,
0.338,,,,
0.342,,,,
0.345,,,,
0.349,7.859E-3,-1.658E-2,0.000,6.001E-2
0.352,,,,
0.356,,,,
0.359,,,,
0.363,,,,
0.366,7.859E-3,-1.658E-2,1.604E-3,3.001E-2
0.370,,,,
0.373,,,,
0.377,,,,
0.380,,,,
0.384,7.901E-3,-1.654E-2,1.604E-3,6.710E-2
0.387,,,,
0.391,,,,
0.394,,,,
0.398,,,,
0.401,7.901E-3,-1.654E-2,1.925E-3,0.113
0.405,,,,
0.408,,,,
0.412,,,,
0.415,,,,
0.419,7.859E-3,-1.650E-2,4.463E-3,0.125
0.422,,,,
0.425,,,,
0.429,,,,
0.432,,,,
0.436,7.818E-3,-1.642E-2,2.768E-3,0.170
0.439,,,,
0.443,,,,
0.446,,,,
0.450,,,,
0.453,7.777E-3,-1.654E-2,4.305E-3,7.364E-2
0.457,,,,
0.460,,,,
0.464,,,,
0.467,,,,
0.471,7.777E-3,-1.654E-2,0.000,0.145
0.474,,,,
0.478,,,,
0.481,,,,
0.485,,,,
0.488,7.777E-3,-1.654E-2,1.925E-3,8.119E-2
0.492,,,,
0.495,,,,
0.499,,,,
0.502,,,,
