t,x,y
0.000,0.152,-0.358
0.004,,
0.007,,
0.011,,
0.014,,
0.018,0.145,-0.351
0.021,,
0.025,,
0.029,,
0.032,,
0.036,0.147,-0.351
0.039,,
0.043,,
0.046,,
0.050,,
0.054,0.145,-0.355
0.057,,
0.061,,
0.064,,
0.068,,
0.071,0.152,-0.357
0.075,,
0.079,,
0.082,,
0.086,,
0.089,0.149,-0.356
0.093,,
0.096,,
0.100,,
0.104,,
0.107,0.149,-0.356
0.111,,
0.114,,
0.118,,
0.121,,
0.125,0.148,-0.355
0.129,,
0.132,,
0.136,,
0.139,,
0.143,0.148,-0.354
0.147,,
0.150,,
0.154,,
0.157,,
0.161,0.146,-0.354
0.164,,
0.168,,
0.172,,
0.175,,
0.179,0.145,-0.354
0.182,,
0.186,,
0.189,,
0.193,,
0.197,0.145,-0.352
0.200,,
0.204,,
0.207,,
0.211,,
0.214,0.144,-0.350
0.218,,
0.222,,
0.225,,
0.229,,
0.232,0.143,-0.350
0.236,,
0.239,,
0.243,,
0.247,,
0.250,0.143,-0.349
0.254,,
0.257,,
0.261,,
0.264,,
0.268,0.143,-0.347
0.272,,
0.275,,
0.279,,
0.282,,
0.286,0.143,-0.345
0.289,,
0.293,,
0.297,,
0.300,,
0.304,0.143,-0.345
0.307,,
0.311,,
0.314,,
0.318,,
0.322,0.142,-0.340
0.325,,
0.329,,
0.332,,
0.336,,
0.339,0.142,-0.340
0.343,,
0.347,,
0.350,,
0.354,,
0.357,0.139,-0.336
0.361,,
0.364,,
0.368,,
0.372,,
0.375,0.136,-0.330
0.379,,
0.382,,
0.386,,
0.389,,
0.393,0.136,-0.327
0.397,,
0.400,,
0.404,,
0.407,,
0.411,0.137,-0.325
0.415,,
0.418,,
0.422,,
0.425,,
0.429,0.137,-0.324
0.432,,
0.436,,
0.440,,
0.443,,
0.447,0.137,-0.324
0.450,,
0.454,,
0.457,,
0.461,,
0.465,0.135,-0.323
0.468,,
0.472,,
0.475,,
0.479,,
0.482,0.134,-0.320
0.486,,
0.490,,
0.493,,
0.497,,
0.500,0.135,-0.317
0.504,,
0.507,,
0.511,,
0.515,,
0.518,0.139,-0.313
0.522,,
0.525,,
0.529,,
0.532,,
0.536,0.139,-0.313
0.540,,
0.543,,
0.547,,
0.550,,
0.554,0.138,-0.313
0.557,,
0.561,,
0.565,,
0.568,,
0.572,0.137,-0.311
0.575,,
0.579,,
0.582,,
0.586,,
0.590,0.134,-0.309
0.593,,
0.597,,
0.600,,
0.604,,
0.607,0.134,-0.307
0.611,,
0.615,,
0.618,,
0.622,,
0.625,0.133,-0.303
0.629,,
0.632,,
0.636,,
0.640,,
0.643,0.131,-0.302
0.647,,
0.650,,
0.654,,
0.657,,
0.661,0.132,-0.300
0.665,,
0.668,,
0.672,,
0.675,,
0.679,0.134,-0.295
0.682,,
0.686,,
0.690,,
0.693,,
0.697,0.139,-0.289
0.700,,
0.704,,
0.708,,
0.711,,
0.715,0.135,-0.287
0.718,,
0.722,,
0.725,,
0.729,,
0.733,0.138,-0.284
0.736,,
0.740,,
0.743,,
0.747,,
0.750,0.139,-0.282
0.754,,
0.758,,
0.761,,
0.765,,
0.768,0.140,-0.280
0.772,,
0.775,,
0.779,,
0.783,,
0.786,0.140,-0.280
0.790,,
0.793,,
0.797,,
0.800,,
0.804,0.141,-0.279
0.808,,
0.811,,
0.815,,
0.818,,
0.822,0.142,-0.278
0.825,,
0.829,,
0.833,,
0.836,,
0.840,0.142,-0.275
0.843,,
0.847,,
0.850,,
0.854,,
0.858,0.143,-0.271
0.861,,
0.865,,
0.868,,
0.872,,
0.875,0.143,-0.269
0.879,,
0.883,,
0.886,,
0.890,,
0.893,0.145,-0.264
0.897,,
0.900,,
0.904,,
0.908,,
0.911,0.145,-0.261
0.915,,
0.918,,
0.922,,
0.925,,
0.929,0.144,-0.258
0.933,,
0.936,,
0.940,,
0.943,,
0.947,0.131,-0.240
0.950,,
0.954,,
0.958,,
0.961,,
0.965,0.135,-0.240
0.968,,
0.972,,
0.976,,
0.979,,
0.983,0.135,-0.235
0.986,,
0.990,,
0.993,,
0.997,,
1.001,0.135,-0.233
1.004,,
1.008,,
1.011,,
1.015,,
1.018,0.135,-0.233
1.022,,
1.026,,
1.029,,
1.033,,
1.036,0.134,-0.229
1.040,,
1.043,,
1.047,,
1.051,,
1.054,0.131,-0.227
1.058,,
1.061,,
1.065,,
1.068,,
1.072,0.129,-0.226
1.076,,
1.079,,
1.083,,
1.086,,
1.090,0.126,-0.222
1.093,,
1.097,,
1.101,,
1.104,,
1.108,0.124,-0.220
1.111,,
1.115,,
1.118,,
1.122,,
1.126,0.124,-0.219
1.129,,
1.133,,
1.136,,
1.140,,
1.143,0.124,-0.219
1.147,,
1.151,,
1.154,,
1.158,,
1.161,0.126,-0.218
1.165,,
1.168,,
1.172,,
1.176,,
1.179,0.126,-0.214
1.183,,
1.186,,
1.190,,
1.193,,
1.197,0.126,-0.209
1.201,,
1.204,,
1.208,,
1.211,,
1.215,0.127,-0.203
1.218,,
1.222,,
1.226,,
1.229,,
1.233,0.127,-0.203
1.236,,
1.240,,
1.244,,
1.247,,
1.251,0.127,-0.199
1.254,,
1.258,,
1.261,,
1.265,,
1.269,0.127,-0.199
1.272,,
1.276,,
