t,x,y,v,a
0.000,4.177E-3,6.571E-3,,
0.003,,,,
0.006,,,,
0.009,4.205E-3,6.457E-3,1.338E-2,
0.012,,,,
0.015,,,,
0.018,4.205E-3,6.329E-3,1.643E-2,0.342
0.021,,,,
0.024,,,,
0.027,4.191E-3,6.159E-3,1.687E-2,0.174
0.030,,,,
0.033,,,,
0.036,4.134E-3,6.031E-3,1.557E-2,0.242
0.039,,,,
0.042,,,,
0.045,4.106E-3,5.889E-3,1.338E-2,0.101
0.048,,,,
0.052,,,,
0.055,4.106E-3,5.789E-3,1.349E-2,3.473E-2
0.058,,,,
0.061,,,,
0.064,4.063E-3,5.647E-3,1.517E-2,0.247
0.067,,,,
0.070,,,,
0.073,4.049E-3,5.520E-3,1.365E-2,2.456E-2
0.076,,,,
0.079,,,,
0.082,3.964E-3,5.420E-3,1.483E-2,6.946E-2
0.085,,,,
0.088,,,,
0.091,3.964E-3,5.264E-3,1.349E-2,0.211
0.094,,,,
0.097,,,,
0.100,3.921E-3,5.179E-3,1.648E-2,0.256
0.103,,,,
0.106,,,,
0.109,3.808E-3,5.008E-3,2.029E-2,0.342
0.112,,,,
0.115,,,,
0.118,3.822E-3,4.823E-3,1.641E-2,0.296
0.121,,,,
0.124,,,,
0.127,3.808E-3,4.710E-3,1.804E-2,0.851
0.130,,,,
0.133,,,,
0.136,3.793E-3,4.497E-3,3.039E-2,0.352
0.139,,,,
0.142,,,,
0.145,3.637E-3,4.184E-3,1.594E-2,1.036
0.148,,,,
0.152,,,,
0.155,3.736E-3,4.212E-3,8.306E-3,0.880
0.158,,,,
0.161,,,,
0.164,3.751E-3,4.085E-3,7.969E-3,0.329
0.167,,,,
0.170,,,,
0.173,3.765E-3,4.070E-3,4.942E-3,0.110
0.176,,,,
0.179,,,,
0.182,3.779E-3,3.999E-3,7.853E-3,0.677
0.185,,,,
0.188,,,,
0.191,3.779E-3,3.928E-3,1.398E-2,0.384
0.194,,,,
0.197,,,,
0.200,3.665E-3,3.772E-3,1.611E-2,0.409
0.203,,,,
0.206,,,,
0.209,3.665E-3,3.658E-3,1.503E-2,0.716
0.212,,,,
0.215,,,,
0.218,3.708E-3,3.502E-3,2.238E-2,0.177
0.221,,,,
0.224,,,,
0.227,3.751E-3,3.261E-3,1.955E-2,0.472
0.230,,,,
0.233,,,,
0.236,3.722E-3,3.147E-3,1.175E-2,0.174
0.239,,,,
0.242,,,,
0.245,3.736E-3,3.047E-3,1.658E-2,0.482
0.248,,,,
0.252,,,,
0.255,3.765E-3,2.849E-3,2.193E-2,0.155
0.258,,,,
0.261,,,,
0.264,3.765E-3,2.650E-3,1.721E-2,0.443
0.267,,,,
0.270,,,,
0.273,3.751E-3,2.536E-3,1.804E-2,0.319
0.276,,,,
0.279,,,,
0.282,3.665E-3,2.337E-3,1.557E-2,0.308
0.285,,,,
0.288,,,,
0.291,3.665E-3,2.266E-3,9.409E-3,0.198
0.294,,,,
0.297,,,,
