t,x,y,v,a
5.394,1.490E-2,9.015E-3,,
5.397,,,,
5.400,,,,
5.403,,,,
5.406,,,,
5.409,1.413E-2,8.098E-3,2.521E-2,
5.412,,,,
5.415,,,,
5.418,,,,
5.421,,,,
5.424,1.490E-2,8.251E-3,2.521E-2,1.293
5.427,,,,
5.430,,,,
5.433,,,,
5.436,,,,
5.439,1.490E-2,8.098E-3,2.852E-2,2.057
5.442,,,,
5.445,,,,
5.448,,,,
5.452,,,,
5.455,1.551E-2,7.640E-3,2.715E-2,1.145
5.458,,,,
5.461,,,,
5.464,,,,
5.467,,,,
5.470,1.459E-2,8.862E-3,3.671E-2,1.063
5.473,,,,
5.476,,,,
5.479,,,,
5.482,,,,
5.485,1.444E-2,7.945E-3,3.840E-2,1.084
5.488,,,,
5.491,,,,
5.494,,,,
5.497,,,,
5.500,1.505E-2,7.793E-3,5.042E-3,2.195
5.503,,,,
5.506,,,,
5.509,,,,
5.512,,,,
5.515,1.444E-2,8.098E-3,6.134E-2,0.425
5.518,,,,
5.521,,,,
5.524,,,,
5.527,,,,
5.530,1.322E-2,7.487E-3,1.513E-2,2.437
5.533,,,,
5.536,,,,
5.539,,,,
5.542,,,,
5.545,1.444E-2,7.640E-3,4.510E-2,0.570
5.548,,,,
5.552,,,,
5.555,,,,
5.558,,,,
5.561,1.444E-2,6.876E-3,3.067E-2,1.922
5.564,,,,
5.567,,,,
5.570,,,,
5.573,,,,
5.576,1.429E-2,6.723E-3,1.858E-2,1.008
5.579,,,,
5.582,,,,
5.585,,,,
5.588,,,,
5.591,1.430E-2,7.420E-3,1.067E-2,1.324
5.594,,,,
5.597,,,,
5.600,,,,
5.603,,,,
5.606,1.443E-2,7.012E-3,3.422E-2,0.622
5.609,,,,
5.612,,,,
5.615,,,,
5.618,,,,
5.621,1.470E-2,6.467E-3,6.354E-3,1.024
5.624,,,,
5.627,,,,
5.630,,,,
5.633,,,,
5.636,1.430E-2,6.876E-3,2.291E-2,0.432
5.639,,,,
5.642,,,,
5.645,,,,
5.648,,,,
5.652,1.402E-2,6.331E-3,1.005E-2,0.834
5.655,,,,
5.658,,,,
5.661,,,,
5.664,,,,
5.667,1.416E-2,6.603E-3,4.493E-3,0.390
5.670,,,,
5.673,,,,
5.676,,,,
5.679,,,,
5.682,1.416E-2,6.331E-3,1.871E-2,2.136
5.685,,,,
5.688,,,,
5.691,,,,
5.694,,,,
5.697,1.371E-2,6.256E-3,5.349E-2,0.287
5.700,,,,
5.703,,,,
5.706,,,,
5.709,,,,
5.712,1.405E-2,4.713E-3,2.828E-2,1.860
5.715,,,,
5.718,,,,
5.721,,,,
5.724,,,,
5.727,1.371E-2,5.399E-3,2.884E-2,1.216
5.730,,,,
5.733,,,,
5.736,,,,
5.739,,,,
