t,x,y,v,a
5.896,4.261E-3,-1.237E-2,,
5.899,,,,
5.903,,,,
5.907,,,,
5.911,,,,
5.914,4.304E-3,-1.211E-2,7.181E-3,
5.918,,,,
5.922,,,,
5.926,,,,
5.929,,,,
5.933,4.304E-3,-1.198E-2,4.824E-3,0.117
5.937,,,,
5.941,,,,
5.944,,,,
5.948,,,,
5.952,4.261E-3,-1.185E-2,7.279E-3,9.111E-2
5.956,,,,
5.959,,,,
5.963,,,,
5.967,,,,
5.971,4.261E-3,-1.177E-2,1.077E-2,0.113
5.974,,,,
5.978,,,,
5.982,,,,
5.986,,,,
5.989,4.304E-3,-1.146E-2,1.190E-2,8.360E-2
5.993,,,,
5.997,,,,
6.001,,,,
6.004,,,,
6.008,4.261E-3,-1.133E-2,1.077E-2,0.169
6.012,,,,
6.016,,,,
6.019,,,,
6.023,,,,
6.027,4.261E-3,-1.107E-2,8.327E-3,0.120
6.030,,,,
6.034,,,,
6.038,,,,
6.042,,,,
6.045,4.261E-3,-1.103E-2,5.710E-3,0.000
6.049,,,,
6.053,,,,
6.057,,,,
6.060,,,,
6.064,4.261E-3,-1.090E-2,1.142E-2,7.477E-2
6.068,,,,
6.072,,,,
6.075,,,,
6.079,,,,
6.083,4.261E-3,-1.068E-2,7.138E-3,9.347E-2
6.087,,,,
6.090,,,,
6.094,,,,
6.098,,,,
6.102,4.261E-3,-1.060E-2,9.177E-3,0.154
6.105,,,,
6.109,,,,
6.113,,,,
6.117,,,,
6.120,4.261E-3,-1.030E-2,1.533E-2,0.179
6.124,,,,
6.128,,,,
6.132,,,,
6.135,,,,
6.139,4.218E-3,-9.949E-3,1.635E-2,4.180E-2
6.143,,,,
6.147,,,,
6.150,,,,
6.154,,,,
6.158,4.218E-3,-9.603E-3,2.284E-2,6.142E-2
6.161,,,,
6.165,,,,
6.169,,,,
6.173,,,,
6.176,4.218E-3,-9.257E-3,1.428E-2,0.135
6.180,,,,
6.184,,,,
6.188,,,,
6.191,,,,
6.195,4.218E-3,-8.998E-3,1.360E-2,5.911E-2
6.199,,,,
6.203,,,,
6.206,,,,
6.210,,,,
6.214,4.088E-3,-8.695E-3,2.044E-2,9.347E-2
6.218,,,,
6.221,,,,
6.225,,,,
6.229,,,,
6.233,4.088E-3,-8.392E-3,1.570E-2,0.188
6.236,,,,
6.240,,,,
6.244,,,,
6.248,,,,
6.251,4.088E-3,-8.219E-3,1.354E-2,8.512E-2
6.255,,,,
6.259,,,,
6.263,,,,
6.266,,,,
6.270,3.958E-3,-8.003E-3,1.456E-2,0.221
6.274,,,,
6.278,,,,
6.281,,,,
6.285,,,,
6.289,4.001E-3,-7.786E-3,1.363E-2,0.159
6.293,,,,
6.296,,,,
6.300,,,,
6.304,,,,
6.307,4.088E-3,-7.397E-3,1.270E-2,0.100
6.311,,,,
6.315,,,,
6.319,,,,
6.322,,,,
6.326,4.131E-3,-7.224E-3,1.293E-2,7.003E-2
6.330,,,,
6.334,,,,
6.337,,,,
6.341,,,,
6.345,4.131E-3,-7.008E-3,1.537E-2,0.115
6.349,,,,
6.352,,,,
6.356,,,,
6.360,,,,
6.364,4.131E-3,-6.618E-3,1.432E-2,0.156
6.367,,,,
6.371,,,,
6.375,,,,
6.379,,,,
6.382,4.088E-3,-6.445E-3,8.412E-3,0.122
6.386,,,,
6.390,,,,
6.394,,,,
6.397,,,,
6.401,4.088E-3,-6.316E-3,1.071E-2,0.162
6.405,,,,
6.409,,,,
6.412,,,,
6.416,,,,
6.420,4.088E-3,-6.056E-3,1.713E-2,7.682E-2
6.424,,,,
6.427,,,,
6.431,,,,
6.435,,,,
6.438,4.088E-3,-5.797E-3,1.008E-2,0.159
6.442,,,,
6.446,,,,
6.450,,,,
6.453,,,,
6.457,4.088E-3,-5.537E-3,1.437E-2,0.429
6.461,,,,
6.465,,,,
6.468,,,,
6.472,,,,
6.476,4.001E-3,-5.061E-3,4.150E-2,7.954E-2
6.480,,,,
6.483,,,,
6.487,,,,
6.491,,,,
6.495,4.001E-3,-4.283E-3,3.283E-2,0.640
6.498,,,,
6.502,,,,
6.506,,,,
6.510,,,,
6.513,4.001E-3,-4.066E-3,1.577E-2,0.624
6.517,,,,
6.521,,,,
6.525,,,,
6.528,,,,
6.532,4.045E-3,-3.807E-3,1.719E-2,0.362
6.536,,,,
6.540,,,,
6.543,,,,
6.547,,,,
6.551,3.958E-3,-3.547E-3,2.083E-2,0.204
6.555,,,,
6.558,,,,
6.562,,,,
6.566,,,,
6.570,3.785E-3,-3.028E-3,2.083E-2,0.294
6.573,,,,
6.577,,,,
6.581,,,,
6.584,,,,
6.588,3.699E-3,-2.769E-3,1.577E-2,0.439
6.592,,,,
6.596,,,,
6.599,,,,
6.603,,,,
6.607,3.828E-3,-2.552E-3,1.122E-2,0.120
6.611,,,,
6.614,,,,
6.618,,,,
6.622,,,,
6.626,3.915E-3,-2.422E-3,1.097E-2,0.471
6.629,,,,
6.633,,,,
6.637,,,,
6.641,,,,
6.644,3.742E-3,-2.163E-3,2.179E-2,0.120
6.648,,,,
6.652,,,,
6.656,,,,
6.659,,,,
6.663,3.569E-3,-1.860E-3,1.505E-2,0.529
6.667,,,,
6.671,,,,
6.674,,,,
6.678,,,,
6.682,3.569E-3,-1.644E-3,1.980E-2,0.207
6.686,,,,
6.689,,,,
6.693,,,,
6.697,,,,
6.701,3.828E-3,-1.125E-3,1.905E-2,0.278
6.704,,,,
6.708,,,,
6.712,,,,
6.716,,,,
6.719,3.785E-3,-8.652E-4,2.418E-2,0.516
6.723,,,,
6.727,,,,
6.730,,,,
6.734,,,,
6.738,3.785E-3,-1.730E-4,4.745E-2,0.200
6.742,,,,
6.745,,,,
6.749,,,,
6.753,,,,
6.757,3.612E-3,5.624E-4,3.920E-2,0.731
6.760,,,,
6.764,,,,
6.768,,,,
6.772,,,,
6.775,3.569E-3,9.949E-4,2.288E-2,0.690
6.779,,,,
6.783,,,,
6.787,,,,
6.790,,,,
6.794,3.569E-3,1.254E-3,1.856E-2,0.301
6.798,,,,
6.802,,,,
6.805,,,,
6.809,,,,
6.813,3.569E-3,1.557E-3,2.844E-2,0.145
6.817,,,,
6.820,,,,
6.824,,,,
6.828,,,,
6.832,3.309E-3,2.076E-3,2.632E-2,0.108
6.835,,,,
6.839,,,,
6.843,,,,
6.847,,,,
6.850,3.396E-3,2.336E-3,2.019E-2,0.262
6.854,,,,
6.858,,,,
6.861,,,,
6.865,,,,
6.869,3.223E-3,2.682E-3,1.523E-2,0.351
6.873,,,,
6.876,,,,
6.880,,,,
6.884,,,,
6.888,3.396E-3,3.028E-3,2.316E-2,0.351
6.891,,,,
6.895,,,,
6.899,,,,
6.903,,,,
6.906,3.396E-3,3.720E-3,4.283E-2,0.154
6.910,,,,
6.914,,,,
6.918,,,,
6.921,,,,
6.925,3.396E-3,4.326E-3,1.781E-2,0.807
6.929,,,,
6.933,,,,
6.936,,,,
6.940,,,,
6.944,3.569E-3,4.456E-3,5.098E-3,7.708E-2
6.948,,,,
6.951,,,,
6.955,,,,
6.959,,,,
6.963,3.569E-3,4.456E-3,2.284E-2,0.805
6.966,,,,
6.970,,,,
6.974,,,,
6.978,,,,
6.981,3.569E-3,5.148E-3,4.462E-2,0.461
6.985,,,,
6.989,,,,
6.993,,,,
6.996,,,,
7.000,3.396E-3,5.797E-3,3.453E-2,0.337
7.004,,,,
7.007,,,,
7.011,,,,
7.015,,,,
7.019,3.439E-3,6.186E-3,4.462E-2,0.293
7.022,,,,
7.026,,,,
7.030,,,,
7.034,,,,
7.037,3.569E-3,7.138E-3,4.403E-2,0.328
7.041,,,,
7.045,,,,
7.049,,,,
7.052,,,,
7.056,3.396E-3,7.786E-3,2.524E-2,0.577
7.060,,,,
7.064,,,,
7.067,,,,
7.071,,,,
7.075,3.439E-3,8.046E-3,8.397E-3,0.286
7.079,,,,
7.082,,,,
7.086,,,,
7.090,,,,
7.094,3.396E-3,8.219E-3,7.742E-3,0.180
7.097,,,,
7.101,,,,
7.105,,,,
7.109,,,,
7.112,3.352E-3,8.435E-3,2.122E-2,0.544
7.116,,,,
7.120,,,,
7.124,,,,
7.127,,,,
7.131,3.612E-3,8.825E-3,3.693E-2,0.766
7.135,,,,
7.138,,,,
7.142,,,,
7.146,,,,
7.150,3.006E-3,9.733E-3,4.421E-2,0.373
7.153,,,,
7.157,,,,
7.161,,,,
7.165,,,,
7.168,2.963E-3,1.030E-2,2.573E-2,0.424
7.172,,,,
7.176,,,,
7.180,,,,
7.183,,,,
7.187,3.050E-3,1.051E-2,3.212E-2,0.572
7.191,,,,
7.195,,,,
7.198,,,,
7.202,,,,
7.206,2.963E-3,1.224E-2,3.885E-2,0.177
7.210,,,,
7.213,,,,
7.217,,,,
7.221,,,,
7.225,2.963E-3,1.345E-2,4.667E-2,0.523
7.228,,,,
7.232,,,,
7.236,,,,
7.240,,,,
7.243,3.050E-3,1.436E-2,5.015E-2,0.317
7.247,,,,
7.251,,,,
7.255,,,,
7.258,,,,
7.262,3.093E-3,1.497E-2,5.330E-2,0.686
7.266,,,,
7.270,,,,
7.273,,,,
7.277,,,,
7.281,3.266E-3,1.596E-2,4.482E-2,0.785
7.284,,,,
7.288,,,,
7.292,,,,
7.296,,,,
7.299,2.877E-3,1.631E-2,2.746E-2,0.674
7.303,,,,
7.307,,,,
7.311,,,,
7.314,,,,
7.318,2.877E-3,1.670E-2,2.716E-2,0.458
7.322,,,,
7.326,,,,
7.329,,,,
7.333,,,,
7.337,2.833E-3,1.713E-2,2.431E-2,0.157
7.341,,,,
7.344,,,,
7.348,,,,
7.352,,,,
7.356,2.833E-3,1.743E-2,2.146E-2,
7.359,,,,
7.363,,,,
7.367,,,,
7.371,,,,
7.374,2.877E-3,1.778E-2,,
