t,x,y,v,a
6.424,7.659E-3,6.619E-3,,
6.427,,,,
6.430,,,,
6.433,,,,
6.436,,,,
6.439,7.549E-3,6.400E-3,1.142E-2,
6.442,,,,
6.445,,,,
6.448,,,,
6.452,,,,
6.455,7.768E-3,6.291E-3,1.615E-2,0.136
6.458,,,,
6.461,,,,
6.464,,,,
6.467,,,,
6.470,7.768E-3,5.963E-3,1.083E-2,0.532
6.473,,,,
6.476,,,,
6.479,,,,
6.482,,,,
6.485,7.768E-3,5.963E-3,3.611E-3,0.252
6.488,,,,
6.491,,,,
6.494,,,,
6.497,,,,
6.500,7.659E-3,5.963E-3,4.366E-3,0.298
6.503,,,,
6.506,,,,
6.509,,,,
6.512,,,,
6.515,7.728E-3,5.837E-3,1.009E-2,0.766
6.518,,,,
6.521,,,,
6.524,,,,
6.527,,,,
6.530,7.563E-3,5.672E-3,2.442E-2,0.406
6.533,,,,
6.536,,,,
6.539,,,,
6.542,,,,
6.545,7.728E-3,5.097E-3,2.726E-2,0.412
6.548,,,,
6.552,,,,
6.555,,,,
6.558,,,,
6.561,7.645E-3,4.850E-3,8.579E-3,0.847
6.564,,,,
6.567,,,,
6.570,,,,
6.573,,,,
6.576,7.645E-3,4.850E-3,6.066E-3,0.256
6.579,,,,
6.582,,,,
6.585,,,,
6.588,,,,
6.591,7.481E-3,4.768E-3,1.737E-2,0.460
6.594,,,,
6.597,,,,
6.600,,,,
6.603,,,,
6.606,7.317E-3,4.439E-3,1.975E-2,0.624
6.609,,,,
6.612,,,,
6.615,,,,
6.618,,,,
6.621,7.317E-3,4.193E-3,2.237E-2,0.723
6.624,,,,
6.627,,,,
6.630,,,,
6.633,,,,
6.636,7.481E-3,3.782E-3,1.356E-2,0.732
6.639,,,,
6.642,,,,
6.645,,,,
6.648,,,,
6.652,7.645E-3,3.946E-3,6.066E-3,0.599
6.655,,,,
6.658,,,,
6.661,,,,
6.664,,,,
6.667,7.399E-3,3.946E-3,1.956E-2,0.779
6.670,,,,
6.673,,,,
6.676,,,,
6.679,,,,
6.682,7.317E-3,3.453E-3,2.318E-2,0.256
6.685,,,,
6.688,,,,
6.691,,,,
6.694,,,,
6.697,7.152E-3,3.288E-3,1.820E-2,0.534
6.700,,,,
6.703,,,,
6.706,,,,
6.709,,,,
6.712,7.070E-3,2.960E-3,1.119E-2,0.400
6.715,,,,
6.718,,,,
6.721,,,,
6.724,,,,
6.727,7.070E-3,2.960E-3,2.713E-3,0.153
6.730,,,,
6.733,,,,
6.736,,,,
6.739,,,,
6.742,7.070E-3,2.877E-3,1.650E-2,0.412
6.745,,,,
6.748,,,,
6.752,,,,
6.755,,,,
6.758,6.988E-3,2.466E-3,1.918E-2,7.235E-2
6.761,,,,
6.764,,,,
6.767,,,,
6.770,,,,
6.773,6.988E-3,2.302E-3,1.085E-2,0.205
6.776,,,,
6.779,,,,
6.782,,,,
6.785,,,,
6.788,6.988E-3,2.137E-3,1.383E-2,0.298
6.791,,,,
6.794,,,,
6.797,,,,
6.800,,,,
6.803,6.906E-3,1.891E-3,1.151E-2,0.390
6.806,,,,
6.809,,,,
6.812,,,,
6.815,,,,
6.818,6.741E-3,1.891E-3,1.918E-2,7.235E-2
6.821,,,,
6.824,,,,
6.827,,,,
6.830,,,,
6.833,6.495E-3,1.480E-3,1.582E-2,0.362
6.836,,,,
6.839,,,,
6.842,,,,
6.845,,,,
6.848,6.495E-3,1.480E-3,8.139E-3,0.400
6.852,,,,
6.855,,,,
6.858,,,,
6.861,,,,
6.864,6.495E-3,1.233E-3,1.085E-2,0.512
6.867,,,,
6.870,,,,
6.873,,,,
6.876,,,,
6.879,6.495E-3,1.151E-3,1.820E-2,0.184
6.882,,,,
6.885,,,,
6.888,,,,
6.891,,,,
6.894,6.248E-3,7.399E-4,1.582E-2,0.298
6.897,,,,
6.900,,,,
6.903,,,,
6.906,,,,
6.909,6.248E-3,7.399E-4,2.713E-3,0.553
6.912,,,,
6.915,,,,
6.918,,,,
6.921,,,,
6.924,6.248E-3,6.577E-4,2.713E-3,0.184
6.927,,,,
6.930,,,,
6.933,,,,
6.936,,,,
6.939,6.248E-3,6.577E-4,6.066E-3,0.256
6.942,,,,
6.945,,,,
6.948,,,,
6.952,,,,
6.955,6.166E-3,4.933E-4,1.213E-2,0.000
6.958,,,,
6.961,,,,
6.964,,,,
6.967,,,,
6.970,6.083E-3,3.288E-4,6.066E-3,0.256
6.973,,,,
6.976,,,,
6.979,,,,
6.982,,,,
6.985,6.083E-3,3.288E-4,2.713E-3,0.114
6.988,,,,
6.991,,,,
6.994,,,,
6.997,,,,
7.000,6.083E-3,2.466E-4,7.673E-3,0.324
7.003,,,,
7.006,,,,
7.009,,,,
7.012,,,,
7.015,5.919E-3,1.644E-4,1.213E-2,0.145
7.018,,,,
7.021,,,,
7.024,,,,
7.027,,,,
7.030,5.919E-3,-8.221E-5,1.085E-2,0.289
7.033,,,,
7.036,,,,
7.039,,,,
7.042,,,,
7.045,5.919E-3,-1.644E-4,2.713E-3,0.358
7.048,,,,
7.052,,,,
7.055,,,,
7.058,,,,
7.061,5.919E-3,-1.644E-4,0.000,0.000
7.064,,,,
7.067,,,,
7.070,,,,
7.073,,,,
7.076,5.919E-3,-1.644E-4,2.713E-3,5.116E-2
7.079,,,,
7.082,,,,
7.085,,,,
7.088,,,,
7.091,5.919E-3,-2.466E-4,2.713E-3,5.116E-2
7.094,,,,
7.097,,,,
7.100,,,,
7.103,,,,
7.106,5.919E-3,-2.466E-4,0.000,0.000
7.109,,,,
7.112,,,,
7.115,,,,
7.118,,,,
7.121,5.919E-3,-2.466E-4,2.713E-3,0.256
7.124,,,,
7.127,,,,
7.130,,,,
7.133,,,,
7.136,5.919E-3,-3.288E-4,7.673E-3,0.324
7.139,,,,
7.142,,,,
7.145,,,,
7.148,,,,
7.152,5.755E-3,-4.110E-4,1.213E-2,0.324
7.155,,,,
7.158,,,,
7.161,,,,
7.164,,,,
7.167,5.755E-3,-6.577E-4,1.628E-2,0.229
7.170,,,,
7.173,,,,
7.176,,,,
7.179,,,,
7.182,5.755E-3,-9.043E-4,1.356E-2,0.153
7.185,,,,
7.188,,,,
7.191,,,,
7.194,,,,
7.197,5.755E-3,-1.069E-3,1.085E-2,0.597
7.200,,,,
7.203,,,,
7.206,,,,
7.209,,,,
7.212,5.755E-3,-1.233E-3,2.832E-2,0.184
7.215,,,,
7.218,,,,
7.221,,,,
7.224,,,,
7.227,5.508E-3,-1.891E-3,2.318E-2,0.114
7.230,,,,
7.233,,,,
7.236,,,,
7.239,,,,
7.242,5.508E-3,-1.891E-3,1.383E-2,0.162
7.245,,,,
7.248,,,,
7.252,,,,
7.255,,,,
7.258,5.426E-3,-2.302E-3,3.356E-2,0.211
7.261,,,,
7.264,,,,
7.267,,,,
7.270,,,,
7.273,5.261E-3,-2.877E-3,2.187E-2,0.572
7.276,,,,
7.279,,,,
7.282,,,,
7.285,,,,
7.288,5.344E-3,-2.960E-3,1.119E-2,0.256
7.291,,,,
7.294,,,,
7.297,,,,
7.300,,,,
7.303,5.344E-3,-3.206E-3,1.899E-2,0.673
7.306,,,,
7.309,,,,
7.312,,,,
7.315,,,,
7.318,5.344E-3,-3.535E-3,2.984E-2,0.256
7.321,,,,
7.324,,,,
7.327,,,,
7.330,,,,
7.333,5.344E-3,-4.110E-3,2.984E-2,0.328
7.336,,,,
7.339,,,,
7.342,,,,
7.345,,,,
7.348,5.344E-3,-4.439E-3,3.300E-2,0.145
7.352,,,,
7.355,,,,
7.358,,,,
7.361,,,,
7.364,5.508E-3,-5.097E-3,3.300E-2,0.369
7.367,,,,
7.370,,,,
7.373,,,,
7.376,,,,
7.379,5.508E-3,-5.426E-3,1.918E-2,0.727
7.382,,,,
7.385,,,,
7.388,,,,
7.391,,,,
7.394,5.426E-3,-5.672E-3,1.820E-2,0.184
7.397,,,,
7.400,,,,
7.403,,,,
7.406,,,,
7.409,5.261E-3,-5.919E-3,2.318E-2,0.256
7.412,,,,
7.415,,,,
7.418,,,,
7.421,,,,
7.424,5.179E-3,-6.330E-3,2.457E-2,0.298
7.427,,,,
7.430,,,,
7.433,,,,
7.436,,,,
7.439,5.179E-3,-6.659E-3,1.628E-2,0.522
7.442,,,,
7.445,,,,
7.448,,,,
7.452,,,,
7.455,5.179E-3,-6.823E-3,8.139E-3,0.673
7.458,,,,
7.461,,,,
7.464,,,,
7.467,,,,
7.470,5.179E-3,-6.906E-3,3.267E-2,0.311
7.473,,,,
7.476,,,,
7.479,,,,
7.482,,,,
7.485,5.261E-3,-7.810E-3,2.997E-2,0.261
7.488,,,,
7.491,,,,
7.494,,,,
7.497,,,,
7.500,5.261E-3,-7.810E-3,2.442E-2,0.673
7.503,,,,
7.506,,,,
7.509,,,,
7.512,,,,
7.515,5.261E-3,-8.550E-3,2.442E-2,0.472
7.518,,,,
7.521,,,,
7.524,,,,
7.527,,,,
7.530,5.261E-3,-8.550E-3,2.457E-2,0.261
7.533,,,,
7.536,,,,
