t,x,y,v,a
7.970,1.079E-2,-2.354E-3,,
7.973,,,,
7.976,,,,
7.979,,,,
7.982,,,,
7.985,9.875E-3,-2.469E-3,5.595E-2,
7.988,,,,
7.991,,,,
7.994,,,,
7.997,,,,
8.000,9.990E-3,-3.847E-3,4.563E-2,2.431
8.003,,,,
8.006,,,,
8.009,,,,
8.012,,,,
8.015,9.990E-3,-3.847E-3,6.110E-2,1.880
8.018,,,,
8.021,,,,
8.024,,,,
8.027,,,,
8.030,1.091E-2,-5.454E-3,2.542E-2,1.473
8.033,,,,
8.036,,,,
8.039,,,,
8.042,,,,
8.045,1.033E-2,-4.536E-3,2.680E-2,1.314
8.048,,,,
8.052,,,,
8.055,,,,
8.058,,,,
8.061,1.033E-2,-4.880E-3,1.932E-2,1.718
8.064,,,,
8.067,,,,
8.070,,,,
8.073,,,,
8.076,1.022E-2,-5.110E-3,2.397E-2,0.286
8.079,,,,
8.082,,,,
8.085,,,,
8.088,,,,
8.091,1.011E-2,-5.569E-3,2.542E-2,0.214
8.094,,,,
8.097,,,,
8.100,,,,
8.103,,,,
8.106,9.875E-3,-5.799E-3,1.932E-2,0.647
8.109,,,,
8.112,,,,
8.115,,,,
8.118,,,,
8.121,9.990E-3,-6.143E-3,2.542E-2,0.718
8.124,,,,
8.127,,,,
8.130,,,,
8.133,,,,
8.136,1.022E-2,-6.488E-3,3.808E-2,0.500
8.139,,,,
8.142,,,,
8.145,,,,
8.148,,,,
8.152,9.875E-3,-7.292E-3,3.238E-2,0.884
8.155,,,,
8.158,,,,
8.161,,,,
8.164,,,,
8.167,9.875E-3,-7.407E-3,5.359E-3,0.707
8.170,,,,
8.173,,,,
8.176,,,,
8.179,,,,
8.182,9.761E-3,-7.407E-3,1.516E-2,1.318
8.185,,,,
8.188,,,,
8.191,,,,
8.194,,,,
8.197,9.875E-3,-7.866E-3,4.610E-2,0.320
8.200,,,,
8.203,,,,
8.206,,,,
8.209,,,,
8.212,9.531E-3,-8.785E-3,3.238E-2,2.062
8.215,,,,
8.218,,,,
8.221,,,,
8.224,,,,
8.227,9.531E-3,-8.785E-3,2.542E-2,0.929
8.230,,,,
8.233,,,,
8.236,,,,
8.239,,,,
8.242,9.875E-3,-8.096E-3,5.359E-3,0.505
8.245,,,,
8.248,,,,
8.252,,,,
8.255,,,,
8.258,9.646E-3,-8.670E-3,1.072E-2,0.000
8.261,,,,
8.264,,,,
8.267,,,,
8.270,,,,
8.273,9.646E-3,-8.325E-3,2.041E-2,0.872
8.276,,,,
8.279,,,,
8.282,,,,
8.285,,,,
8.288,9.875E-3,-8.096E-3,2.733E-2,1.143
8.291,,,,
8.294,,,,
8.297,,,,
8.300,,,,
8.303,1.011E-2,-9.014E-3,3.125E-2,0.715
8.306,,,,
8.309,,,,
8.312,,,,
8.315,,,,
8.318,1.011E-2,-9.014E-3,1.932E-2,0.863
8.321,,,,
8.324,,,,
8.327,,,,
8.330,,,,
8.333,9.990E-3,-9.588E-3,1.932E-2,0.364
8.336,,,,
8.339,,,,
8.342,,,,
8.345,,,,
8.348,9.990E-3,-9.588E-3,1.895E-2,0.258
8.352,,,,
8.355,,,,
8.358,,,,
8.361,,,,
8.364,9.990E-3,-1.016E-2,2.274E-2,0.286
8.367,,,,
8.370,,,,
8.373,,,,
8.376,,,,
8.379,9.990E-3,-1.028E-2,1.895E-2,0.357
8.382,,,,
8.385,,,,
8.388,,,,
8.391,,,,
8.394,9.990E-3,-1.074E-2,1.895E-2,0.258
8.397,,,,
8.400,,,,
8.403,,,,
8.406,,,,
8.409,9.990E-3,-1.085E-2,1.932E-2,0.417
8.412,,,,
8.415,,,,
8.418,,,,
8.421,,,,
8.424,9.875E-3,-1.131E-2,3.494E-2,0.659
8.427,,,,
8.430,,,,
8.433,,,,
8.436,,,,
8.439,9.761E-3,-1.189E-2,3.864E-2,0.833
8.442,,,,
8.445,,,,
8.448,,,,
8.452,,,,
8.455,9.646E-3,-1.246E-2,4.687E-2,0.214
8.458,,,,
8.461,,,,
8.464,,,,
8.467,,,,
8.470,1.011E-2,-1.326E-2,4.186E-2,1.055
8.473,,,,
8.476,,,,
8.479,,,,
8.482,,,,
8.485,9.531E-3,-1.372E-2,2.426E-2,1.380
8.488,,,,
8.491,,,,
8.494,,,,
8.497,,,,
8.500,9.531E-3,-1.372E-2,1.895E-2,0.799
8.503,,,,
8.506,,,,
8.509,,,,
8.512,,,,
8.515,1.011E-2,-1.372E-2,2.210E-2,1.130
8.518,,,,
8.521,,,,
8.524,,,,
8.527,,,,
8.530,9.875E-3,-1.430E-2,3.260E-2,0.544
8.533,,,,
8.536,,,,
8.539,,,,
8.542,,,,
8.545,9.531E-3,-1.453E-2,1.932E-2,0.736
8.548,,,,
8.552,,,,
8.555,,,,
8.558,,,,
8.561,9.761E-3,-1.487E-2,2.041E-2,0.458
8.564,,,,
8.567,,,,
8.570,,,,
8.573,,,,
8.576,9.761E-3,-1.510E-2,7.579E-3,0.808
8.579,,,,
8.582,,,,
8.585,,,,
8.588,,,,
8.591,9.761E-3,-1.510E-2,7.579E-3,1.598
8.594,,,,
8.597,,,,
8.600,,,,
8.603,,,,
8.606,9.531E-3,-1.510E-2,4.547E-2,0.452
8.609,,,,
8.612,,,,
8.615,,,,
8.618,,,,
8.621,8.383E-3,-1.510E-2,2.210E-2,1.375
8.624,,,,
8.627,,,,
8.630,,,,
8.633,,,,
8.636,8.957E-3,-1.476E-2,2.210E-2,1.093
8.639,,,,
8.642,,,,
8.645,,,,
8.648,,,,
8.652,8.957E-3,-1.476E-2,0.000,1.116
8.655,,,,
8.658,,,,
8.661,,,,
8.664,,,,
8.667,8.957E-3,-1.476E-2,1.137E-2,0.643
8.670,,,,
8.673,,,,
8.676,,,,
8.679,,,,
8.682,8.957E-3,-1.510E-2,2.274E-2,0.000
8.685,,,,
8.688,,,,
8.691,,,,
8.694,,,,
8.697,8.957E-3,-1.544E-2,1.137E-2,0.160
8.700,,,,
8.703,,,,
8.706,,,,
8.709,,,,
8.712,8.957E-3,-1.544E-2,1.562E-2,0.576
8.715,,,,
8.718,,,,
8.721,,,,
8.724,,,,
8.727,9.072E-3,-1.590E-2,3.410E-2,0.258
8.730,,,,
8.733,,,,
8.736,,,,
8.739,,,,
8.742,8.957E-3,-1.648E-2,2.305E-2,0.295
8.745,,,,
8.748,,,,
8.752,,,,
8.755,,,,
8.758,8.957E-3,-1.659E-2,3.431E-2,1.516
8.761,,,,
8.764,,,,
8.767,,,,
8.770,,,,
8.773,9.072E-3,-1.751E-2,6.967E-2,0.678
8.776,,,,
8.779,,,,
8.782,,,,
8.785,,,,
8.788,9.761E-3,-1.855E-2,3.055E-2,2.077
8.791,,,,
8.794,,,,
8.797,,,,
8.800,,,,
8.803,8.957E-3,-1.843E-2,2.305E-2,0.520
8.806,,,,
8.809,,,,
8.812,,,,
8.815,,,,
8.818,9.072E-3,-1.843E-2,2.041E-2,1.365
8.821,,,,
8.824,,,,
8.827,,,,
8.830,,,,
8.833,9.186E-3,-1.900E-2,3.055E-2,0.214
8.836,,,,
8.839,,,,
8.842,,,,
8.845,,,,
8.848,9.186E-3,-1.935E-2,1.516E-2,0.589
8.852,,,,
8.855,,,,
8.858,,,,
8.861,,,,
8.864,9.186E-3,-1.946E-2,1.137E-2,0.357
8.867,,,,
8.870,,,,
8.873,,,,
8.876,,,,
8.879,9.186E-3,-1.969E-2,7.579E-3,0.572
8.882,,,,
8.885,,,,
8.888,,,,
8.891,,,,
8.894,9.186E-3,-1.969E-2,2.274E-2,0.857
8.897,,,,
8.900,,,,
8.903,,,,
8.906,,,,
8.909,9.186E-3,-2.038E-2,4.168E-2,0.357
8.912,,,,
8.915,,,,
8.918,,,,
8.921,,,,
8.924,9.186E-3,-2.096E-2,3.032E-2,0.429
8.927,,,,
8.930,,,,
8.933,,,,
8.936,,,,
8.939,9.186E-3,-2.130E-2,2.653E-2,2.648
8.942,,,,
8.945,,,,
8.948,,,,
8.952,,,,
8.955,9.186E-3,-2.176E-2,3.808E-2,1.146
8.958,,,,
8.961,,,,
8.964,,,,
8.967,,,,
8.970,9.072E-3,-2.015E-2,3.789E-2,0.715
8.973,,,,
8.976,,,,
8.979,,,,
8.982,,,,
8.985,9.186E-3,-2.061E-2,1.516E-2,2.715
8.988,,,,
8.991,,,,
8.994,,,,
8.997,,,,
9.000,9.072E-3,-2.061E-2,2.680E-2,0.226
9.003,,,,
9.006,,,,
9.009,,,,
9.012,,,,
9.015,9.072E-3,-2.142E-2,3.410E-2,0.258
9.018,,,,
9.021,,,,
9.024,,,,
9.027,,,,
9.030,9.072E-3,-2.165E-2,1.366E-2,0.258
9.033,,,,
9.036,,,,
9.039,,,,
9.042,,,,
9.045,8.842E-3,-2.176E-2,3.864E-2,0.452
9.048,,,,
9.052,,,,
9.055,,,,
9.058,,,,
9.061,8.842E-3,-2.279E-2,3.789E-2,0.869
9.064,,,,
9.067,,,,
9.070,,,,
9.073,,,,
9.076,8.842E-3,-2.291E-2,1.137E-2,0.860
9.079,,,,
9.082,,,,
9.085,,,,
9.088,,,,
9.091,8.498E-3,-2.279E-2,1.366E-2,0.895
9.094,,,,
9.097,,,,
9.100,,,,
9.103,,,,
9.106,8.612E-3,-2.325E-2,3.125E-2,0.808
9.109,,,,
9.112,,,,
9.115,,,,
9.118,,,,
9.121,8.727E-3,-2.371E-2,2.759E-2,0.214
9.124,,,,
9.127,,,,
9.130,,,,
9.133,,,,
9.136,8.842E-3,-2.406E-2,2.397E-2,0.452
9.139,,,,
9.142,,,,
9.145,,,,
9.148,,,,
9.152,8.957E-3,-2.440E-2,1.562E-2,0.799
9.155,,,,
9.158,,,,
9.161,,,,
9.164,,,,
9.167,8.957E-3,-2.452E-2,3.808E-2,0.258
9.170,,,,
9.173,,,,
9.176,,,,
9.179,,,,
9.182,8.842E-3,-2.555E-2,3.431E-2,0.789
9.185,,,,
9.188,,,,
9.191,,,,
9.194,,,,
9.197,8.842E-3,-2.555E-2,0.000,1.088
9.200,,,,
9.203,,,,
9.206,,,,
9.209,,,,
9.212,8.842E-3,-2.555E-2,1.072E-2,0.429
9.215,,,,
9.218,,,,
9.221,,,,
9.224,,,,
9.227,9.072E-3,-2.578E-2,1.562E-2,0.500
9.230,,,,
9.233,,,,
9.236,,,,
9.239,,,,
9.242,8.957E-3,-2.601E-2,1.366E-2,0.659
9.245,,,,
9.248,,,,
9.252,,,,
9.255,,,,
9.258,8.727E-3,-2.601E-2,1.137E-2,0.479
9.261,,,,
9.264,,,,
9.267,,,,
9.270,,,,
9.273,8.612E-3,-2.601E-2,1.932E-2,0.815
9.276,,,,
9.279,,,,
9.282,,,,
9.285,,,,
9.288,8.612E-3,-2.658E-2,2.680E-2,0.505
9.291,,,,
9.294,,,,
9.297,,,,
9.300,,,,
9.303,8.727E-3,-2.681E-2,1.895E-2,7.146E-2
9.306,,,,
9.309,,,,
9.312,,,,
9.315,,,,
9.318,8.957E-3,-2.704E-2,2.759E-2,0.295
9.321,,,,
9.324,,,,
9.327,,,,
9.330,,,,
9.333,8.957E-3,-2.762E-2,2.274E-2,0.202
9.336,,,,
9.339,,,,
9.342,,,,
9.345,,,,
9.348,8.957E-3,-2.773E-2,2.542E-2,0.160
9.352,,,,
9.355,,,,
9.358,,,,
9.361,,,,
9.364,9.301E-3,-2.831E-2,2.680E-2,0.505
9.367,,,,
9.370,,,,
9.373,,,,
9.376,,,,
9.379,9.072E-3,-2.854E-2,1.072E-2,0.639
9.382,,,,
9.385,,,,
9.388,,,,
9.391,,,,
9.394,9.072E-3,-2.854E-2,7.579E-3,0.606
9.397,,,,
9.400,,,,
9.403,,,,
9.406,,,,
9.409,9.072E-3,-2.877E-2,2.305E-2,0.295
9.412,,,,
9.415,,,,
9.418,,,,
9.421,,,,
9.424,9.186E-3,-2.922E-2,1.932E-2,0.226
9.427,,,,
9.430,,,,
9.433,,,,
9.436,,,,
9.439,9.186E-3,-2.934E-2,2.274E-2,0.202
9.442,,,,
9.445,,,,
9.448,,,,
9.452,,,,
9.455,9.186E-3,-2.991E-2,2.274E-2,0.143
9.458,,,,
9.461,,,,
9.464,,,,
9.467,,,,
9.470,9.186E-3,-3.003E-2,1.562E-2,0.576
9.473,,,,
9.476,,,,
9.479,,,,
9.482,,,,
9.485,9.301E-3,-3.037E-2,1.198E-2,
9.488,,,,
9.491,,,,
9.494,,,,
9.497,,,,
9.500,9.301E-3,-3.037E-2,,
