t,x,y,v,a
4.167,6.217E-3,3.353E-3,,
4.170,,,,
4.173,,,,
4.176,,,,
4.179,,,,
4.182,6.356E-3,3.073E-3,9.960E-3,
4.185,,,,
4.188,,,,
4.191,,,,
4.194,,,,
4.197,6.213E-3,3.051E-3,1.208E-2,0.341
4.200,,,,
4.203,,,,
4.206,,,,
4.209,,,,
4.212,5.991E-3,3.051E-3,1.036E-2,0.499
4.215,,,,
4.218,,,,
4.221,,,,
4.224,,,,
4.227,6.435E-3,2.829E-3,1.637E-2,0.138
4.230,,,,
4.233,,,,
4.236,,,,
4.239,,,,
4.242,6.213E-3,2.607E-3,1.158E-2,0.488
4.245,,,,
4.248,,,,
4.252,,,,
4.255,,,,
4.258,6.324E-3,2.496E-3,1.098E-2,0.154
4.261,,,,
4.264,,,,
4.267,,,,
4.270,,,,
4.273,6.213E-3,2.274E-3,1.158E-2,0.293
4.276,,,,
4.279,,,,
4.282,,,,
4.285,,,,
4.288,6.213E-3,2.163E-3,5.178E-3,0.352
4.291,,,,
4.294,,,,
4.297,,,,
4.300,,,,
4.303,6.102E-3,2.163E-3,1.972E-2,0.772
4.306,,,,
4.309,,,,
4.312,,,,
4.315,,,,
4.318,5.991E-3,1.609E-3,3.295E-2,6.904E-2
4.321,,,,
4.324,,,,
4.327,,,,
4.330,,,,
4.333,6.102E-3,1.165E-3,1.510E-2,0.590
4.336,,,,
4.339,,,,
4.342,,,,
4.345,,,,
4.348,5.880E-3,1.165E-3,1.098E-2,0.463
4.352,,,,
4.355,,,,
4.358,,,,
4.361,,,,
4.364,6.102E-3,8.321E-4,1.637E-2,0.498
4.367,,,,
4.370,,,,
4.373,,,,
4.376,,,,
4.379,5.658E-3,7.211E-4,1.867E-2,0.218
4.382,,,,
4.385,,,,
4.388,,,,
4.391,,,,
4.394,5.991E-3,2.774E-4,1.637E-2,0.000
4.397,,,,
4.400,,,,
4.403,,,,
4.406,,,,
4.409,5.880E-3,2.774E-4,1.553E-2,0.218
4.412,,,,
4.415,,,,
4.418,,,,
4.421,,,,
4.424,5.658E-3,-5.547E-5,2.197E-2,0.498
4.427,,,,
4.430,,,,
4.433,,,,
4.436,,,,
4.439,5.880E-3,-3.883E-4,2.227E-2,0.463
4.442,,,,
4.445,,,,
4.448,,,,
4.452,,,,
4.455,5.769E-3,-7.211E-4,1.553E-2,0.293
4.458,,,,
4.461,,,,
4.464,,,,
4.467,,,,
4.470,5.547E-3,-7.211E-4,1.158E-2,0.218
4.473,,,,
4.476,,,,
4.479,,,,
4.482,,,,
4.485,5.658E-3,-1.054E-3,2.227E-2,0.154
4.488,,,,
4.491,,,,
4.494,,,,
4.497,,,,
4.500,5.436E-3,-1.387E-3,1.831E-2,0.345
4.503,,,,
4.506,,,,
4.509,,,,
4.512,,,,
4.515,5.325E-3,-1.498E-3,1.972E-2,0.285
4.518,,,,
4.521,,,,
4.524,,,,
4.527,,,,
4.530,5.658E-3,-1.942E-3,2.227E-2,0.249
4.533,,,,
4.536,,,,
4.539,,,,
4.542,,,,
4.545,5.436E-3,-2.163E-3,1.972E-2,0.651
4.548,,,,
4.552,,,,
4.555,,,,
4.558,,,,
4.561,5.436E-3,-2.496E-3,1.637E-2,0.000
4.564,,,,
4.567,,,,
4.570,,,,
4.573,,,,
4.576,5.214E-3,-2.607E-3,1.831E-2,6.904E-2
4.579,,,,
4.582,,,,
4.585,,,,
4.588,,,,
4.591,5.104E-3,-2.940E-3,1.867E-2,0.403
4.594,,,,
4.597,,,,
4.600,,,,
4.603,,,,
4.606,5.104E-3,-3.162E-3,2.227E-2,0.637
4.609,,,,
4.612,,,,
4.615,,,,
4.618,,,,
4.621,4.993E-3,-3.606E-3,1.320E-2,0.154
4.624,,,,
4.627,,,,
4.630,,,,
4.633,,,,
4.636,5.325E-3,-3.495E-3,1.464E-2,0.309
4.639,,,,
4.642,,,,
4.645,,,,
4.648,,,,
4.652,4.993E-3,-4.050E-3,3.019E-2,0.976
4.655,,,,
4.658,,,,
4.661,,,,
4.664,,,,
4.667,5.104E-3,-4.382E-3,3.128E-2,0.442
4.670,,,,
4.673,,,,
4.676,,,,
4.679,,,,
4.682,4.660E-3,-4.937E-3,2.665E-2,0.772
4.685,,,,
4.688,,,,
4.691,,,,
4.694,,,,
4.697,4.882E-3,-5.159E-3,5.178E-3,0.218
4.700,,,,
4.703,,,,
4.706,,,,
4.709,,,,
4.712,4.771E-3,-5.048E-3,1.972E-2,0.650
4.715,,,,
4.718,,,,
4.721,,,,
4.724,,,,
4.727,4.660E-3,-5.714E-3,2.937E-2,0.228
4.730,,,,
4.733,,,,
4.736,,,,
4.739,,,,
4.742,4.490E-3,-5.893E-3,1.234E-2,0.403
4.745,,,,
4.748,,,,
4.752,,,,
4.755,,,,
4.758,4.583E-3,-6.080E-3,1.852E-2,0.608
4.761,,,,
4.764,,,,
4.767,,,,
4.770,,,,
4.773,4.490E-3,-6.454E-3,3.223E-2,0.373
4.776,,,,
4.779,,,,
4.782,,,,
4.785,,,,
4.788,4.303E-3,-7.015E-3,1.800E-2,0.339
4.791,,,,
4.794,,,,
4.797,,,,
4.800,,,,
4.803,4.209E-3,-6.921E-3,1.543E-2,5.820E-2
4.806,,,,
4.809,,,,
4.812,,,,
4.815,,,,
4.818,4.303E-3,-7.483E-3,2.545E-2,0.521
4.821,,,,
4.824,,,,
4.827,,,,
4.830,,,,
4.833,4.022E-3,-7.670E-3,1.662E-2,0.130
4.836,,,,
4.839,,,,
4.842,,,,
4.845,,,,
4.848,4.490E-3,-7.950E-3,2.489E-2,0.291
4.852,,,,
4.855,,,,
4.858,,,,
4.861,,,,
4.864,4.115E-3,-8.418E-3,1.746E-2,0.329
4.867,,,,
4.870,,,,
4.873,,,,
4.876,,,,
4.879,4.115E-3,-8.324E-3,9.761E-3,0.412
4.882,,,,
4.885,,,,
4.888,,,,
4.891,,,,
4.894,4.209E-3,-8.699E-3,3.223E-2,0.608
4.897,,,,
4.900,,,,
4.903,,,,
4.906,,,,
4.909,3.835E-3,-9.260E-3,2.778E-2,0.373
4.912,,,,
4.915,,,,
4.918,,,,
4.921,,,,
4.924,4.209E-3,-9.540E-3,1.878E-2,0.210
4.927,,,,
4.930,,,,
4.933,,,,
4.936,,,,
4.939,3.741E-3,-9.821E-3,3.223E-2,0.469
4.942,,,,
4.945,,,,
4.948,,,,
4.952,,,,
4.955,3.928E-3,-1.048E-2,3.818E-2,0.701
4.958,,,,
4.961,,,,
4.964,,,,
4.967,,,,
4.970,4.022E-3,-1.094E-2,1.543E-2,0.729
4.973,,,,
4.976,,,,
4.979,,,,
4.982,,,,
4.985,3.554E-3,-1.076E-2,1.310E-2,0.443
4.988,,,,
4.991,,,,
4.994,,,,
4.997,,,,
5.000,3.741E-3,-1.122E-2,1.800E-2,0.759
5.003,,,,
5.006,,,,
5.009,,,,
5.012,,,,
5.015,3.835E-3,-1.122E-2,1.852E-2,0.745
5.018,,,,
5.021,,,,
5.024,,,,
5.027,,,,
5.030,3.741E-3,-1.179E-2,3.818E-2,5.820E-2
5.033,,,,
5.036,,,,
5.039,,,,
5.042,,,,
5.045,3.554E-3,-1.235E-2,1.878E-2,0.373
5.048,,,,
5.052,,,,
5.055,,,,
5.058,,,,
5.061,3.648E-3,-1.235E-2,2.183E-2,0.703
5.064,,,,
5.067,,,,
5.070,,,,
5.073,,,,
5.076,3.648E-3,-1.300E-2,1.273E-2,0.259
5.079,,,,
5.082,,,,
5.085,,,,
5.088,,,,
5.091,3.741E-3,-1.272E-2,1.408E-2,0.480
5.094,,,,
5.097,,,,
5.100,,,,
5.103,,,,
5.106,3.981E-3,-1.327E-2,3.754E-2,1.160
5.109,,,,
5.112,,,,
5.115,,,,
5.118,,,,
5.121,3.745E-3,-1.386E-2,3.936E-2,0.826
5.124,,,,
5.127,,,,
5.130,,,,
5.133,,,,
5.136,3.804E-3,-1.445E-2,1.794E-2,0.943
5.139,,,,
5.142,,,,
5.145,,,,
5.148,,,,
5.152,3.627E-3,-1.439E-2,5.504E-3,0.303
5.155,,,,
5.158,,,,
5.161,,,,
5.164,,,,
